RUN	basic.ListarAnuncios	listaranuncios	1603302399639	teste	3.0.2
USER	ListarAnuncios3	1	START	1603302401925	1603302401925
USER	ListarAnuncios3	2	START	1603302402273	1603302402273
USER	ListarAnuncios3	3	START	1603302402612	1603302402612
USER	ListarAnuncios3	4	START	1603302402952	1603302402952
USER	ListarAnuncios3	5	START	1603302403282	1603302403282
USER	ListarAnuncios3	6	START	1603302403613	1603302403613
USER	ListarAnuncios3	7	START	1603302403952	1603302403952
USER	ListarAnuncios3	8	START	1603302404273	1603302404273
USER	ListarAnuncios3	9	START	1603302404603	1603302404603
USER	ListarAnuncios3	10	START	1603302404942	1603302404942
USER	ListarAnuncios3	11	START	1603302405273	1603302405273
USER	ListarAnuncios3	12	START	1603302405603	1603302405603
USER	ListarAnuncios3	13	START	1603302405943	1603302405943
USER	ListarAnuncios3	14	START	1603302406272	1603302406272
USER	ListarAnuncios3	15	START	1603302406603	1603302406603
USER	ListarAnuncios3	16	START	1603302406943	1603302406943
USER	ListarAnuncios3	17	START	1603302407272	1603302407272
USER	ListarAnuncios3	18	START	1603302407602	1603302407602
USER	ListarAnuncios3	19	START	1603302407943	1603302407943
USER	ListarAnuncios3	20	START	1603302408273	1603302408273
REQUEST	14		Gerar Token	1603302406276	1603302408344	OK	 
REQUEST	13		Gerar Token	1603302405945	1603302408344	OK	 
REQUEST	1		Gerar Token	1603302401954	1603302408410	OK	 
REQUEST	5		Gerar Token	1603302403284	1603302408410	OK	 
REQUEST	8		Gerar Token	1603302404275	1603302408428	OK	 
REQUEST	6		Gerar Token	1603302403615	1603302408428	OK	 
REQUEST	12		Gerar Token	1603302405605	1603302408431	OK	 
USER	ListarAnuncios3	21	START	1603302408603	1603302408603
USER	ListarAnuncios3	22	START	1603302408942	1603302408942
USER	ListarAnuncios3	23	START	1603302409273	1603302409273
REQUEST	22		Gerar Token	1603302408944	1603302409518	OK	 
USER	ListarAnuncios3	24	START	1603302409602	1603302409602
REQUEST	3		Gerar Token	1603302402614	1603302409818	OK	 
REQUEST	4		Gerar Token	1603302402954	1603302409911	OK	 
REQUEST	9		Gerar Token	1603302404605	1603302409935	OK	 
USER	ListarAnuncios3	25	START	1603302409942	1603302409942
REQUEST	16		Gerar Token	1603302406945	1603302410224	OK	 
USER	ListarAnuncios3	26	START	1603302410273	1603302410273
REQUEST	11		Gerar Token	1603302405275	1603302410322	OK	 
REQUEST	15		Gerar Token	1603302406605	1603302410324	OK	 
REQUEST	2		Gerar Token	1603302402282	1603302410355	OK	 
REQUEST	7		Gerar Token	1603302403954	1603302410454	OK	 
REQUEST	17		Gerar Token	1603302407273	1603302410523	OK	 
USER	ListarAnuncios3	27	START	1603302410602	1603302410602
REQUEST	10		Gerar Token	1603302404944	1603302410648	OK	 
REQUEST	18		Gerar Token	1603302407604	1603302410714	OK	 
REQUEST	19		Gerar Token	1603302407944	1603302410758	OK	 
REQUEST	20		Gerar Token	1603302408274	1603302410918	OK	 
USER	ListarAnuncios3	28	START	1603302410942	1603302410942
REQUEST	21		Gerar Token	1603302408604	1603302410946	OK	 
REQUEST	26		Gerar Token	1603302410275	1603302410945	OK	 
REQUEST	27		Gerar Token	1603302410604	1603302411047	OK	 
REQUEST	23		Gerar Token	1603302409274	1603302411071	OK	 
REQUEST	25		Gerar Token	1603302409943	1603302411101	OK	 
REQUEST	24		Gerar Token	1603302409604	1603302411101	OK	 
USER	ListarAnuncios3	29	START	1603302411273	1603302411273
REQUEST	28		Gerar Token	1603302410944	1603302411541	OK	 
USER	ListarAnuncios3	30	START	1603302411602	1603302411602
REQUEST	29		Gerar Token	1603302411274	1603302411896	OK	 
USER	ListarAnuncios3	31	START	1603302411942	1603302411942
REQUEST	30		Gerar Token	1603302411604	1603302412107	OK	 
USER	ListarAnuncios3	32	START	1603302412272	1603302412272
REQUEST	31		Gerar Token	1603302411944	1603302412533	OK	 
USER	ListarAnuncios3	33	START	1603302412602	1603302412602
REQUEST	32		Gerar Token	1603302412274	1603302412911	OK	 
USER	ListarAnuncios3	34	START	1603302412943	1603302412943
REQUEST	33		Gerar Token	1603302412604	1603302413097	OK	 
USER	ListarAnuncios3	35	START	1603302413273	1603302413273
REQUEST	34		Gerar Token	1603302412944	1603302413368	OK	 
USER	ListarAnuncios3	36	START	1603302413603	1603302413603
REQUEST	35		Gerar Token	1603302413274	1603302413892	OK	 
USER	ListarAnuncios3	37	START	1603302413933	1603302413933
REQUEST	36		Gerar Token	1603302413604	1603302414144	OK	 
USER	ListarAnuncios3	38	START	1603302414273	1603302414273
USER	ListarAnuncios3	39	START	1603302414603	1603302414603
USER	ListarAnuncios3	40	START	1603302414942	1603302414942
REQUEST	39		Gerar Token	1603302414604	1603302415125	OK	 
USER	ListarAnuncios3	41	START	1603302415272	1603302415272
USER	ListarAnuncios3	42	START	1603302415603	1603302415603
USER	ListarAnuncios3	43	START	1603302415942	1603302415942
USER	ListarAnuncios3	44	START	1603302416273	1603302416273
USER	ListarAnuncios3	45	START	1603302416603	1603302416603
USER	ListarAnuncios3	46	START	1603302416943	1603302416943
USER	ListarAnuncios3	47	START	1603302417272	1603302417272
USER	ListarAnuncios3	48	START	1603302417602	1603302417602
USER	ListarAnuncios3	49	START	1603302417943	1603302417943
USER	ListarAnuncios3	50	START	1603302418272	1603302418272
REQUEST	10		request_0	1603302415664	1603302418547	OK	 
REQUEST	11		request_0	1603302415343	1603302418547	OK	 
USER	ListarAnuncios3	51	START	1603302418679	1603302418679
REQUEST	8		request_0	1603302413443	1603302418679	OK	 
REQUEST	12		request_0	1603302413454	1603302418681	OK	 
REQUEST	5		request_0	1603302413423	1603302418685	OK	 
REQUEST	14		request_0	1603302413377	1603302418691	OK	 
REQUEST	23		request_0	1603302416093	1603302418690	OK	 
REQUEST	20		request_0	1603302415934	1603302418691	OK	 
REQUEST	32		request_0	1603302417934	1603302418685	OK	 
REQUEST	9		request_0	1603302414954	1603302418691	OK	 
REQUEST	2		request_0	1603302415374	1603302418686	OK	 
REQUEST	13		request_0	1603302413377	1603302418688	OK	 
REQUEST	22		request_0	1603302414543	1603302418689	OK	 
REQUEST	17		request_0	1603302415543	1603302418687	OK	 
REQUEST	19		request_0	1603302415774	1603302418689	OK	 
REQUEST	15		request_0	1603302415343	1603302418689	OK	 
REQUEST	30		request_0	1603302417123	1603302418800	OK	 
REQUEST	6		request_0	1603302413443	1603302418800	OK	 
REQUEST	26		request_0	1603302415963	1603302418801	OK	 
REQUEST	24		request_0	1603302416114	1603302418802	OK	 
REQUEST	7		request_0	1603302415474	1603302418804	OK	 
REQUEST	31		request_0	1603302417553	1603302418801	OK	 
REQUEST	25		request_0	1603302416114	1603302418808	OK	 
REQUEST	34		request_0	1603302418384	1603302418809	OK	 
REQUEST	27		request_0	1603302416063	1603302418812	OK	 
REQUEST	21		request_0	1603302415964	1603302418814	OK	 
REQUEST	16		request_0	1603302415244	1603302418814	OK	 
REQUEST	3		request_0	1603302414834	1603302418811	OK	 
REQUEST	1		request_0	1603302413423	1603302418821	OK	 
REQUEST	4		request_0	1603302414933	1603302418824	OK	 
REQUEST	29		request_0	1603302416913	1603302418824	OK	 
REQUEST	23		request_1	1603302418796	1603302418818	OK	 
REQUEST	15		request_1	1603302418798	1603302418825	OK	 
REQUEST	10		request_1	1603302418797	1603302418826	OK	 
REQUEST	8		request_1	1603302418799	1603302418826	OK	 
REQUEST	14		request_1	1603302418796	1603302418827	OK	 
REQUEST	19		request_1	1603302418796	1603302418827	OK	 
REQUEST	33		request_0	1603302418114	1603302418826	OK	 
REQUEST	18		request_0	1603302415735	1603302418830	OK	 
REQUEST	9		request_1	1603302418804	1603302418832	OK	 
REQUEST	28		request_0	1603302416564	1603302418832	OK	 
REQUEST	15		req_login_iframe	1603302418799	1603302418833	OK	 
REQUEST	13		request_1	1603302418809	1603302418833	OK	 
