RUN	basic.ListarAnuncios2	listaranuncios2	1603207474696	teste	3.0.2
USER	ListarAnuncios2	1	START	1603207477080	1603207477080
USER	ListarAnuncios2	2	START	1603207477115	1603207477115
USER	ListarAnuncios2	3	START	1603207477117	1603207477117
USER	ListarAnuncios2	4	START	1603207477118	1603207477118
USER	ListarAnuncios2	5	START	1603207477118	1603207477118
USER	ListarAnuncios2	6	START	1603207477119	1603207477119
USER	ListarAnuncios2	7	START	1603207477120	1603207477120
USER	ListarAnuncios2	8	START	1603207477121	1603207477121
USER	ListarAnuncios2	9	START	1603207477122	1603207477122
USER	ListarAnuncios2	10	START	1603207477123	1603207477123
USER	ListarAnuncios2	11	START	1603207477127	1603207477127
USER	ListarAnuncios2	12	START	1603207477128	1603207477128
USER	ListarAnuncios2	13	START	1603207477130	1603207477130
USER	ListarAnuncios2	14	START	1603207477132	1603207477132
USER	ListarAnuncios2	15	START	1603207477134	1603207477134
USER	ListarAnuncios2	16	START	1603207477135	1603207477135
USER	ListarAnuncios2	17	START	1603207477135	1603207477135
USER	ListarAnuncios2	18	START	1603207477136	1603207477136
USER	ListarAnuncios2	19	START	1603207477137	1603207477137
USER	ListarAnuncios2	20	START	1603207477137	1603207477137
USER	ListarAnuncios2	21	START	1603207477138	1603207477138
USER	ListarAnuncios2	22	START	1603207477139	1603207477139
USER	ListarAnuncios2	23	START	1603207477139	1603207477139
USER	ListarAnuncios2	24	START	1603207477140	1603207477140
USER	ListarAnuncios2	25	START	1603207477140	1603207477140
USER	ListarAnuncios2	26	START	1603207477141	1603207477141
USER	ListarAnuncios2	27	START	1603207477141	1603207477141
USER	ListarAnuncios2	28	START	1603207477142	1603207477142
USER	ListarAnuncios2	29	START	1603207477142	1603207477142
USER	ListarAnuncios2	30	START	1603207477143	1603207477143
USER	ListarAnuncios2	31	START	1603207477143	1603207477143
USER	ListarAnuncios2	32	START	1603207477144	1603207477144
USER	ListarAnuncios2	33	START	1603207477144	1603207477144
USER	ListarAnuncios2	34	START	1603207477145	1603207477145
USER	ListarAnuncios2	35	START	1603207477145	1603207477145
