RUN	basic.CadastrarAnuncio	cadastraranuncio	1603490844942	teste	3.0.2
USER	CadastrarAnuncio	1	START	1603490847228	1603490847228
USER	CadastrarAnuncio	2	START	1603490847588	1603490847588
USER	CadastrarAnuncio	3	START	1603490847918	1603490847918
USER	CadastrarAnuncio	4	START	1603490848247	1603490848247
USER	CadastrarAnuncio	5	START	1603490848587	1603490848587
USER	CadastrarAnuncio	6	START	1603490848917	1603490848917
USER	CadastrarAnuncio	7	START	1603490849248	1603490849248
USER	CadastrarAnuncio	8	START	1603490849568	1603490849568
USER	CadastrarAnuncio	9	START	1603490849907	1603490849907
USER	CadastrarAnuncio	10	START	1603490850237	1603490850237
USER	CadastrarAnuncio	11	START	1603490850568	1603490850568
USER	CadastrarAnuncio	12	START	1603490850908	1603490850908
USER	CadastrarAnuncio	13	START	1603490851238	1603490851238
USER	CadastrarAnuncio	14	START	1603490851567	1603490851567
USER	CadastrarAnuncio	15	START	1603490851907	1603490851907
USER	CadastrarAnuncio	16	START	1603490852237	1603490852237
USER	CadastrarAnuncio	17	START	1603490852568	1603490852568
USER	CadastrarAnuncio	18	START	1603490852907	1603490852907
USER	CadastrarAnuncio	19	START	1603490853238	1603490853238
USER	CadastrarAnuncio	20	START	1603490853567	1603490853567
USER	CadastrarAnuncio	21	START	1603490853908	1603490853908
USER	CadastrarAnuncio	22	START	1603490854238	1603490854238
USER	CadastrarAnuncio	23	START	1603490854568	1603490854568
USER	CadastrarAnuncio	24	START	1603490854908	1603490854908
USER	CadastrarAnuncio	25	START	1603490855238	1603490855238
USER	CadastrarAnuncio	26	START	1603490855568	1603490855568
USER	CadastrarAnuncio	27	START	1603490855907	1603490855907
USER	CadastrarAnuncio	28	START	1603490856238	1603490856238
USER	CadastrarAnuncio	29	START	1603490856567	1603490856567
USER	CadastrarAnuncio	30	START	1603490856908	1603490856908
USER	CadastrarAnuncio	31	START	1603490857237	1603490857237
USER	CadastrarAnuncio	32	START	1603490857568	1603490857568
USER	CadastrarAnuncio	33	START	1603490857907	1603490857907
USER	CadastrarAnuncio	34	START	1603490858238	1603490858238
USER	CadastrarAnuncio	35	START	1603490858567	1603490858567
USER	CadastrarAnuncio	36	START	1603490858907	1603490858907
USER	CadastrarAnuncio	37	START	1603490859238	1603490859238
USER	CadastrarAnuncio	38	START	1603490859567	1603490859567
USER	CadastrarAnuncio	39	START	1603490859907	1603490859907
USER	CadastrarAnuncio	40	START	1603490860238	1603490860238
USER	CadastrarAnuncio	41	START	1603490860568	1603490860568
USER	CadastrarAnuncio	42	START	1603490860908	1603490860908
USER	CadastrarAnuncio	43	START	1603490861237	1603490861237
USER	CadastrarAnuncio	44	START	1603490861568	1603490861568
USER	CadastrarAnuncio	45	START	1603490861908	1603490861908
USER	CadastrarAnuncio	46	START	1603490862238	1603490862238
USER	CadastrarAnuncio	47	START	1603490862568	1603490862568
USER	CadastrarAnuncio	48	START	1603490862907	1603490862907
USER	CadastrarAnuncio	49	START	1603490863237	1603490863237
USER	CadastrarAnuncio	50	START	1603490863568	1603490863568
USER	CadastrarAnuncio	51	START	1603490863907	1603490863907
USER	CadastrarAnuncio	52	START	1603490864238	1603490864238
USER	CadastrarAnuncio	53	START	1603490864568	1603490864568
USER	CadastrarAnuncio	54	START	1603490864908	1603490864908
REQUEST	15		Gerar Token	1603490851908	1603490864981	OK	 
USER	CadastrarAnuncio	55	START	1603490865237	1603490865237
REQUEST	24		Gerar Token	1603490854909	1603490865531	OK	 
USER	CadastrarAnuncio	56	START	1603490865568	1603490865568
USER	CadastrarAnuncio	57	START	1603490865907	1603490865907
USER	CadastrarAnuncio	58	START	1603490866238	1603490866238
USER	CadastrarAnuncio	59	START	1603490866568	1603490866568
USER	CadastrarAnuncio	60	START	1603490866907	1603490866907
REQUEST	1		Gerar Token	1603490847256	1603490866976	OK	 
USER	CadastrarAnuncio	61	START	1603490867237	1603490867237
REQUEST	29		Gerar Token	1603490856569	1603490867506	OK	 
REQUEST	46		Gerar Token	1603490862239	1603490867505	OK	 
REQUEST	34		Gerar Token	1603490858239	1603490867506	OK	 
REQUEST	30		Gerar Token	1603490856909	1603490867550	OK	 
USER	CadastrarAnuncio	62	START	1603490867567	1603490867567
REQUEST	27		Gerar Token	1603490855909	1603490867685	OK	 
USER	CadastrarAnuncio	63	START	1603490867908	1603490867908
REQUEST	7		Gerar Token	1603490849249	1603490868221	OK	 
USER	CadastrarAnuncio	64	START	1603490868237	1603490868237
USER	CadastrarAnuncio	65	START	1603490868567	1603490868567
USER	CadastrarAnuncio	66	START	1603490868907	1603490868907
REQUEST	31		Gerar Token	1603490857239	1603490869087	OK	 
USER	CadastrarAnuncio	67	START	1603490869237	1603490869237
REQUEST	37		Gerar Token	1603490859238	1603490869263	OK	 
REQUEST	45		Gerar Token	1603490861909	1603490869297	OK	 
REQUEST	36		Gerar Token	1603490858908	1603490869474	OK	 
REQUEST	6		Gerar Token	1603490848918	1603490869474	OK	 
REQUEST	18		Gerar Token	1603490852909	1603490869475	OK	 
REQUEST	44		Gerar Token	1603490861569	1603490869483	OK	 
REQUEST	23		Gerar Token	1603490854569	1603490869483	OK	 
REQUEST	35		Gerar Token	1603490858568	1603490869483	OK	 
REQUEST	2		Gerar Token	1603490847592	1603490869492	OK	 
REQUEST	47		Gerar Token	1603490862569	1603490869511	OK	 
REQUEST	55		Gerar Token	1603490865238	1603490869531	OK	 
USER	CadastrarAnuncio	68	START	1603490869567	1603490869567
REQUEST	32		Gerar Token	1603490857569	1603490869595	OK	 
REQUEST	54		Gerar Token	1603490864909	1603490869593	OK	 
USER	CadastrarAnuncio	69	START	1603490869908	1603490869908
USER	CadastrarAnuncio	70	START	1603490870237	1603490870237
REQUEST	58		Gerar Token	1603490866239	1603490870277	OK	 
REQUEST	59		Gerar Token	1603490866569	1603490870453	OK	 
USER	CadastrarAnuncio	71	START	1603490870568	1603490870568
REQUEST	3		Gerar Token	1603490847919	1603490870585	OK	 
REQUEST	60		Gerar Token	1603490866908	1603490870632	OK	 
REQUEST	33		Gerar Token	1603490857908	1603490870632	OK	 
REQUEST	49		Gerar Token	1603490863238	1603490870668	OK	 
REQUEST	12		Gerar Token	1603490850909	1603490870754	OK	 
REQUEST	42		Gerar Token	1603490860909	1603490870754	OK	 
REQUEST	62		Gerar Token	1603490867568	1603490870768	OK	 
REQUEST	5		Gerar Token	1603490848589	1603490870794	OK	 
USER	CadastrarAnuncio	72	START	1603490870907	1603490870907
REQUEST	22		Gerar Token	1603490854238	1603490871186	OK	 
USER	CadastrarAnuncio	73	START	1603490871237	1603490871237
REQUEST	57		Gerar Token	1603490865908	1603490871298	OK	 
REQUEST	11		Gerar Token	1603490850569	1603490871359	OK	 
REQUEST	14		Gerar Token	1603490851569	1603490871542	OK	 
USER	CadastrarAnuncio	74	START	1603490871567	1603490871567
USER	CadastrarAnuncio	75	START	1603490871908	1603490871908
REQUEST	28		Gerar Token	1603490856239	1603490872022	OK	 
REQUEST	20		Gerar Token	1603490853569	1603490872205	OK	 
REQUEST	39		Gerar Token	1603490859909	1603490872223	OK	 
USER	CadastrarAnuncio	76	START	1603490872238	1603490872238
REQUEST	4		Gerar Token	1603490848248	1603490872474	OK	 
REQUEST	13		Gerar Token	1603490851239	1603490872518	OK	 
USER	CadastrarAnuncio	77	START	1603490872568	1603490872568
REQUEST	26		Gerar Token	1603490855569	1603490872729	OK	 
REQUEST	19		Gerar Token	1603490853239	1603490872729	OK	 
REQUEST	52		Gerar Token	1603490864239	1603490872748	OK	 
REQUEST	9		Gerar Token	1603490849909	1603490872792	OK	 
REQUEST	41		Gerar Token	1603490860569	1603490872796	OK	 
REQUEST	21		Gerar Token	1603490853909	1603490872880	OK	 
USER	CadastrarAnuncio	78	START	1603490872908	1603490872908
REQUEST	16		Gerar Token	1603490852238	1603490873009	OK	 
REQUEST	25		Gerar Token	1603490855239	1603490873009	OK	 
USER	CadastrarAnuncio	79	START	1603490873237	1603490873237
USER	CadastrarAnuncio	80	START	1603490873567	1603490873567
USER	CadastrarAnuncio	81	START	1603490873907	1603490873907
USER	CadastrarAnuncio	82	START	1603490874237	1603490874237
USER	CadastrarAnuncio	83	START	1603490874568	1603490874568
USER	CadastrarAnuncio	84	START	1603490874908	1603490874908
REQUEST	74		Gerar Token	1603490871568	1603490875124	OK	 
USER	CadastrarAnuncio	85	START	1603490875238	1603490875238
USER	CadastrarAnuncio	86	START	1603490875567	1603490875567
REQUEST	48		Gerar Token	1603490862908	1603490875876	OK	 
REQUEST	69		Gerar Token	1603490869909	1603490875878	OK	 
REQUEST	50		Gerar Token	1603490863569	1603490875883	OK	 
REQUEST	43		Gerar Token	1603490861239	1603490875883	OK	 
