RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1602868960411	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1602868962893	1602868962893
USER	AcessoMercadoAzul1	2	START	1602868963001	1602868963001
USER	AcessoMercadoAzul1	3	START	1602868963061	1602868963061
USER	AcessoMercadoAzul1	4	START	1602868963120	1602868963120
USER	AcessoMercadoAzul1	5	START	1602868963181	1602868963181
USER	AcessoMercadoAzul1	6	START	1602868963241	1602868963241
USER	AcessoMercadoAzul1	7	START	1602868963300	1602868963300
USER	AcessoMercadoAzul1	8	START	1602868963351	1602868963351
USER	AcessoMercadoAzul1	9	START	1602868963411	1602868963411
USER	AcessoMercadoAzul1	10	START	1602868963470	1602868963470
USER	AcessoMercadoAzul1	11	START	1602868963531	1602868963531
USER	AcessoMercadoAzul1	12	START	1602868963590	1602868963590
USER	AcessoMercadoAzul1	13	START	1602868963651	1602868963651
USER	AcessoMercadoAzul1	14	START	1602868963711	1602868963711
USER	AcessoMercadoAzul1	15	START	1602868963771	1602868963771
USER	AcessoMercadoAzul1	16	START	1602868963831	1602868963831
USER	AcessoMercadoAzul1	17	START	1602868963881	1602868963881
USER	AcessoMercadoAzul1	18	START	1602868963941	1602868963941
USER	AcessoMercadoAzul1	19	START	1602868964001	1602868964001
USER	AcessoMercadoAzul1	20	START	1602868964061	1602868964061
USER	AcessoMercadoAzul1	21	START	1602868964121	1602868964121
USER	AcessoMercadoAzul1	22	START	1602868964181	1602868964181
USER	AcessoMercadoAzul1	23	START	1602868964240	1602868964240
USER	AcessoMercadoAzul1	24	START	1602868964300	1602868964300
USER	AcessoMercadoAzul1	25	START	1602868964351	1602868964351
USER	AcessoMercadoAzul1	26	START	1602868964411	1602868964411
USER	AcessoMercadoAzul1	27	START	1602868964471	1602868964471
USER	AcessoMercadoAzul1	28	START	1602868964531	1602868964531
USER	AcessoMercadoAzul1	29	START	1602868964591	1602868964591
USER	AcessoMercadoAzul1	30	START	1602868964651	1602868964651
USER	AcessoMercadoAzul1	31	START	1602868964711	1602868964711
USER	AcessoMercadoAzul1	32	START	1602868964771	1602868964771
USER	AcessoMercadoAzul1	33	START	1602868964830	1602868964830
USER	AcessoMercadoAzul1	34	START	1602868964890	1602868964890
USER	AcessoMercadoAzul1	36	START	1602868964951	1602868964951
USER	AcessoMercadoAzul1	35	START	1602868964951	1602868964951
USER	AcessoMercadoAzul1	37	START	1602868965021	1602868965021
USER	AcessoMercadoAzul1	38	START	1602868965081	1602868965081
USER	AcessoMercadoAzul1	39	START	1602868965141	1602868965141
USER	AcessoMercadoAzul1	40	START	1602868965200	1602868965200
USER	AcessoMercadoAzul1	41	START	1602868965270	1602868965270
USER	AcessoMercadoAzul1	42	START	1602868965331	1602868965331
USER	AcessoMercadoAzul1	43	START	1602868965391	1602868965391
USER	AcessoMercadoAzul1	44	START	1602868965450	1602868965450
USER	AcessoMercadoAzul1	45	START	1602868965521	1602868965521
USER	AcessoMercadoAzul1	46	START	1602868965581	1602868965581
USER	AcessoMercadoAzul1	47	START	1602868965641	1602868965641
USER	AcessoMercadoAzul1	48	START	1602868965701	1602868965701
USER	AcessoMercadoAzul1	49	START	1602868965771	1602868965771
USER	AcessoMercadoAzul1	50	START	1602868965830	1602868965830
USER	AcessoMercadoAzul1	51	START	1602868965891	1602868965891
USER	AcessoMercadoAzul1	52	START	1602868965951	1602868965951
USER	AcessoMercadoAzul1	53	START	1602868966011	1602868966011
USER	AcessoMercadoAzul1	54	START	1602868966071	1602868966071
USER	AcessoMercadoAzul1	55	START	1602868966131	1602868966131
USER	AcessoMercadoAzul1	56	START	1602868966191	1602868966191
USER	AcessoMercadoAzul1	57	START	1602868966241	1602868966241
USER	AcessoMercadoAzul1	58	START	1602868966301	1602868966301
USER	AcessoMercadoAzul1	59	START	1602868966361	1602868966361
USER	AcessoMercadoAzul1	60	START	1602868966420	1602868966420
USER	AcessoMercadoAzul1	61	START	1602868966481	1602868966481
USER	AcessoMercadoAzul1	62	START	1602868966541	1602868966541
USER	AcessoMercadoAzul1	63	START	1602868966600	1602868966600
USER	AcessoMercadoAzul1	64	START	1602868966661	1602868966661
USER	AcessoMercadoAzul1	65	START	1602868966711	1602868966711
USER	AcessoMercadoAzul1	66	START	1602868966771	1602868966771
USER	AcessoMercadoAzul1	67	START	1602868966831	1602868966831
USER	AcessoMercadoAzul1	68	START	1602868966891	1602868966891
USER	AcessoMercadoAzul1	69	START	1602868966950	1602868966950
USER	AcessoMercadoAzul1	70	START	1602868967011	1602868967011
USER	AcessoMercadoAzul1	71	START	1602868967071	1602868967071
USER	AcessoMercadoAzul1	72	START	1602868967132	1602868967132
USER	AcessoMercadoAzul1	73	START	1602868967191	1602868967191
USER	AcessoMercadoAzul1	74	START	1602868967241	1602868967241
USER	AcessoMercadoAzul1	75	START	1602868967301	1602868967301
USER	AcessoMercadoAzul1	76	START	1602868967361	1602868967361
USER	AcessoMercadoAzul1	77	START	1602868967421	1602868967421
USER	AcessoMercadoAzul1	78	START	1602868967481	1602868967481
USER	AcessoMercadoAzul1	79	START	1602868967541	1602868967541
USER	AcessoMercadoAzul1	80	START	1602868967600	1602868967600
USER	AcessoMercadoAzul1	81	START	1602868967661	1602868967661
USER	AcessoMercadoAzul1	82	START	1602868967711	1602868967711
USER	AcessoMercadoAzul1	83	START	1602868967770	1602868967770
USER	AcessoMercadoAzul1	84	START	1602868967830	1602868967830
USER	AcessoMercadoAzul1	85	START	1602868967891	1602868967891
USER	AcessoMercadoAzul1	86	START	1602868967951	1602868967951
USER	AcessoMercadoAzul1	87	START	1602868968020	1602868968020
USER	AcessoMercadoAzul1	88	START	1602868968081	1602868968081
USER	AcessoMercadoAzul1	89	START	1602868968140	1602868968140
USER	AcessoMercadoAzul1	90	START	1602868968201	1602868968201
USER	AcessoMercadoAzul1	91	START	1602868968271	1602868968271
USER	AcessoMercadoAzul1	92	START	1602868968331	1602868968331
