RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1602870087097	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1602870089459	1602870089459
USER	AcessoMercadoAzul1	2	START	1602870089492	1602870089492
USER	AcessoMercadoAzul1	3	START	1602870089493	1602870089493
USER	AcessoMercadoAzul1	4	START	1602870089494	1602870089494
USER	AcessoMercadoAzul1	5	START	1602870089494	1602870089494
USER	AcessoMercadoAzul1	6	START	1602870089496	1602870089496
USER	AcessoMercadoAzul1	7	START	1602870089500	1602870089500
USER	AcessoMercadoAzul1	8	START	1602870089501	1602870089501
USER	AcessoMercadoAzul1	9	START	1602870089502	1602870089502
USER	AcessoMercadoAzul1	10	START	1602870089503	1602870089503
USER	AcessoMercadoAzul1	11	START	1602870089504	1602870089504
USER	AcessoMercadoAzul1	12	START	1602870089505	1602870089505
USER	AcessoMercadoAzul1	13	START	1602870089507	1602870089507
USER	AcessoMercadoAzul1	14	START	1602870089508	1602870089508
USER	AcessoMercadoAzul1	15	START	1602870089511	1602870089511
USER	AcessoMercadoAzul1	16	START	1602870089512	1602870089512
USER	AcessoMercadoAzul1	17	START	1602870089512	1602870089512
USER	AcessoMercadoAzul1	18	START	1602870089513	1602870089513
USER	AcessoMercadoAzul1	19	START	1602870089513	1602870089513
USER	AcessoMercadoAzul1	20	START	1602870089514	1602870089514
USER	AcessoMercadoAzul1	21	START	1602870089514	1602870089514
USER	AcessoMercadoAzul1	22	START	1602870089515	1602870089515
USER	AcessoMercadoAzul1	23	START	1602870089515	1602870089515
USER	AcessoMercadoAzul1	24	START	1602870089516	1602870089516
USER	AcessoMercadoAzul1	25	START	1602870089516	1602870089516
USER	AcessoMercadoAzul1	26	START	1602870089517	1602870089517
USER	AcessoMercadoAzul1	27	START	1602870089517	1602870089517
USER	AcessoMercadoAzul1	28	START	1602870089518	1602870089518
USER	AcessoMercadoAzul1	29	START	1602870089518	1602870089518
USER	AcessoMercadoAzul1	30	START	1602870089519	1602870089519
USER	AcessoMercadoAzul1	31	START	1602870089519	1602870089519
USER	AcessoMercadoAzul1	32	START	1602870089519	1602870089519
USER	AcessoMercadoAzul1	33	START	1602870089520	1602870089520
USER	AcessoMercadoAzul1	34	START	1602870089520	1602870089520
USER	AcessoMercadoAzul1	35	START	1602870089521	1602870089521
USER	AcessoMercadoAzul1	36	START	1602870089521	1602870089521
USER	AcessoMercadoAzul1	37	START	1602870089522	1602870089522
USER	AcessoMercadoAzul1	38	START	1602870089523	1602870089523
USER	AcessoMercadoAzul1	39	START	1602870089524	1602870089524
USER	AcessoMercadoAzul1	40	START	1602870089524	1602870089524
USER	AcessoMercadoAzul1	41	START	1602870089525	1602870089525
USER	AcessoMercadoAzul1	42	START	1602870089526	1602870089526
USER	AcessoMercadoAzul1	43	START	1602870089526	1602870089526
USER	AcessoMercadoAzul1	44	START	1602870089527	1602870089527
USER	AcessoMercadoAzul1	45	START	1602870089528	1602870089528
USER	AcessoMercadoAzul1	46	START	1602870089528	1602870089528
USER	AcessoMercadoAzul1	47	START	1602870089529	1602870089529
USER	AcessoMercadoAzul1	48	START	1602870089529	1602870089529
USER	AcessoMercadoAzul1	49	START	1602870089530	1602870089530
USER	AcessoMercadoAzul1	50	START	1602870089530	1602870089530
USER	AcessoMercadoAzul1	51	START	1602870089531	1602870089531
USER	AcessoMercadoAzul1	52	START	1602870089531	1602870089531
USER	AcessoMercadoAzul1	53	START	1602870089532	1602870089532
USER	AcessoMercadoAzul1	54	START	1602870089532	1602870089532
USER	AcessoMercadoAzul1	55	START	1602870089532	1602870089532
USER	AcessoMercadoAzul1	56	START	1602870089533	1602870089533
USER	AcessoMercadoAzul1	57	START	1602870089533	1602870089533
USER	AcessoMercadoAzul1	58	START	1602870089533	1602870089533
USER	AcessoMercadoAzul1	59	START	1602870089534	1602870089534
USER	AcessoMercadoAzul1	60	START	1602870089534	1602870089534
USER	AcessoMercadoAzul1	61	START	1602870089535	1602870089535
USER	AcessoMercadoAzul1	62	START	1602870089535	1602870089535
USER	AcessoMercadoAzul1	63	START	1602870089535	1602870089535
USER	AcessoMercadoAzul1	64	START	1602870089536	1602870089536
USER	AcessoMercadoAzul1	65	START	1602870089536	1602870089536
USER	AcessoMercadoAzul1	66	START	1602870089537	1602870089537
USER	AcessoMercadoAzul1	67	START	1602870089537	1602870089537
USER	AcessoMercadoAzul1	68	START	1602870089538	1602870089538
USER	AcessoMercadoAzul1	69	START	1602870089538	1602870089538
USER	AcessoMercadoAzul1	70	START	1602870089538	1602870089538
USER	AcessoMercadoAzul1	71	START	1602870089539	1602870089539
USER	AcessoMercadoAzul1	72	START	1602870089539	1602870089539
USER	AcessoMercadoAzul1	73	START	1602870089539	1602870089539
USER	AcessoMercadoAzul1	74	START	1602870089540	1602870089540
USER	AcessoMercadoAzul1	75	START	1602870089540	1602870089540
USER	AcessoMercadoAzul1	76	START	1602870089540	1602870089540
USER	AcessoMercadoAzul1	77	START	1602870089541	1602870089541
USER	AcessoMercadoAzul1	78	START	1602870089541	1602870089541
USER	AcessoMercadoAzul1	79	START	1602870089541	1602870089541
USER	AcessoMercadoAzul1	80	START	1602870089542	1602870089542
USER	AcessoMercadoAzul1	81	START	1602870089542	1602870089542
USER	AcessoMercadoAzul1	82	START	1602870089543	1602870089543
USER	AcessoMercadoAzul1	83	START	1602870089544	1602870089544
USER	AcessoMercadoAzul1	84	START	1602870089544	1602870089544
USER	AcessoMercadoAzul1	85	START	1602870089545	1602870089545
USER	AcessoMercadoAzul1	86	START	1602870089545	1602870089545
USER	AcessoMercadoAzul1	87	START	1602870089546	1602870089546
USER	AcessoMercadoAzul1	88	START	1602870089546	1602870089546
