RUN	basic.ListarAnuncios2	listaranuncios2	1603204267810	teste	3.0.2
USER	ListarAnuncios2	1	START	1603204270169	1603204270169
USER	ListarAnuncios2	2	START	1603204270202	1603204270202
USER	ListarAnuncios2	3	START	1603204270203	1603204270203
USER	ListarAnuncios2	4	START	1603204270204	1603204270204
USER	ListarAnuncios2	5	START	1603204270205	1603204270205
USER	ListarAnuncios2	6	START	1603204270206	1603204270206
USER	ListarAnuncios2	7	START	1603204270210	1603204270210
USER	ListarAnuncios2	8	START	1603204270210	1603204270210
USER	ListarAnuncios2	9	START	1603204270211	1603204270211
USER	ListarAnuncios2	10	START	1603204270212	1603204270212
USER	ListarAnuncios2	11	START	1603204270212	1603204270212
USER	ListarAnuncios2	12	START	1603204270213	1603204270213
USER	ListarAnuncios2	13	START	1603204270213	1603204270213
USER	ListarAnuncios2	14	START	1603204270214	1603204270214
USER	ListarAnuncios2	15	START	1603204270215	1603204270215
USER	ListarAnuncios2	16	START	1603204270216	1603204270216
USER	ListarAnuncios2	17	START	1603204270216	1603204270216
USER	ListarAnuncios2	18	START	1603204270217	1603204270217
USER	ListarAnuncios2	19	START	1603204270217	1603204270217
USER	ListarAnuncios2	20	START	1603204270217	1603204270217
USER	ListarAnuncios2	21	START	1603204270218	1603204270218
USER	ListarAnuncios2	22	START	1603204270218	1603204270218
USER	ListarAnuncios2	23	START	1603204270219	1603204270219
USER	ListarAnuncios2	24	START	1603204270219	1603204270219
USER	ListarAnuncios2	25	START	1603204270219	1603204270219
USER	ListarAnuncios2	26	START	1603204270220	1603204270220
USER	ListarAnuncios2	27	START	1603204270220	1603204270220
USER	ListarAnuncios2	28	START	1603204270221	1603204270221
USER	ListarAnuncios2	29	START	1603204270221	1603204270221
USER	ListarAnuncios2	30	START	1603204270221	1603204270221
USER	ListarAnuncios2	31	START	1603204270222	1603204270222
USER	ListarAnuncios2	32	START	1603204270222	1603204270222
USER	ListarAnuncios2	33	START	1603204270223	1603204270223
USER	ListarAnuncios2	34	START	1603204270223	1603204270223
USER	ListarAnuncios2	35	START	1603204270223	1603204270223
USER	ListarAnuncios2	36	START	1603204270224	1603204270224
USER	ListarAnuncios2	37	START	1603204270224	1603204270224
USER	ListarAnuncios2	38	START	1603204270225	1603204270225
USER	ListarAnuncios2	39	START	1603204270225	1603204270225
USER	ListarAnuncios2	40	START	1603204270226	1603204270226
USER	ListarAnuncios2	41	START	1603204270226	1603204270226
USER	ListarAnuncios2	42	START	1603204270227	1603204270227
USER	ListarAnuncios2	43	START	1603204270227	1603204270227
USER	ListarAnuncios2	44	START	1603204270227	1603204270227
USER	ListarAnuncios2	45	START	1603204270228	1603204270228
USER	ListarAnuncios2	46	START	1603204270228	1603204270228
USER	ListarAnuncios2	47	START	1603204270229	1603204270229
USER	ListarAnuncios2	48	START	1603204270229	1603204270229
USER	ListarAnuncios2	49	START	1603204270230	1603204270230
USER	ListarAnuncios2	50	START	1603204270230	1603204270230
USER	ListarAnuncios2	51	START	1603204270231	1603204270231
USER	ListarAnuncios2	52	START	1603204270231	1603204270231
USER	ListarAnuncios2	53	START	1603204270232	1603204270232
USER	ListarAnuncios2	54	START	1603204270232	1603204270232
USER	ListarAnuncios2	55	START	1603204270233	1603204270233
USER	ListarAnuncios2	56	START	1603204270233	1603204270233
USER	ListarAnuncios2	57	START	1603204270234	1603204270234
USER	ListarAnuncios2	58	START	1603204270234	1603204270234
USER	ListarAnuncios2	59	START	1603204270235	1603204270235
USER	ListarAnuncios2	60	START	1603204270235	1603204270235
USER	ListarAnuncios2	61	START	1603204270236	1603204270236
USER	ListarAnuncios2	62	START	1603204270236	1603204270236
USER	ListarAnuncios2	63	START	1603204270237	1603204270237
USER	ListarAnuncios2	64	START	1603204270237	1603204270237
USER	ListarAnuncios2	65	START	1603204270238	1603204270238
USER	ListarAnuncios2	66	START	1603204270238	1603204270238
USER	ListarAnuncios2	67	START	1603204270239	1603204270239
USER	ListarAnuncios2	68	START	1603204270239	1603204270239
USER	ListarAnuncios2	69	START	1603204270239	1603204270239
USER	ListarAnuncios2	70	START	1603204270240	1603204270240
USER	ListarAnuncios2	71	START	1603204270240	1603204270240
USER	ListarAnuncios2	72	START	1603204270241	1603204270241
USER	ListarAnuncios2	73	START	1603204270241	1603204270241
USER	ListarAnuncios2	74	START	1603204270241	1603204270241
USER	ListarAnuncios2	75	START	1603204270242	1603204270242
USER	ListarAnuncios2	76	START	1603204270242	1603204270242
USER	ListarAnuncios2	77	START	1603204270243	1603204270243
USER	ListarAnuncios2	78	START	1603204270243	1603204270243
USER	ListarAnuncios2	79	START	1603204270243	1603204270243
USER	ListarAnuncios2	80	START	1603204270244	1603204270244
USER	ListarAnuncios2	81	START	1603204270244	1603204270244
USER	ListarAnuncios2	82	START	1603204270245	1603204270245
USER	ListarAnuncios2	83	START	1603204270245	1603204270245
USER	ListarAnuncios2	84	START	1603204270245	1603204270245
USER	ListarAnuncios2	85	START	1603204270246	1603204270246
USER	ListarAnuncios2	86	START	1603204270246	1603204270246
USER	ListarAnuncios2	87	START	1603204270247	1603204270247
USER	ListarAnuncios2	88	START	1603204270247	1603204270247
USER	ListarAnuncios2	89	START	1603204270247	1603204270247
USER	ListarAnuncios2	90	START	1603204270248	1603204270248
USER	ListarAnuncios2	91	START	1603204270248	1603204270248
USER	ListarAnuncios2	92	START	1603204270248	1603204270248
USER	ListarAnuncios2	93	START	1603204270249	1603204270249
USER	ListarAnuncios2	94	START	1603204270249	1603204270249
USER	ListarAnuncios2	95	START	1603204270250	1603204270250
USER	ListarAnuncios2	96	START	1603204270250	1603204270250
USER	ListarAnuncios2	97	START	1603204270251	1603204270251
USER	ListarAnuncios2	98	START	1603204270252	1603204270252
USER	ListarAnuncios2	99	START	1603204270252	1603204270252
USER	ListarAnuncios2	100	START	1603204270253	1603204270253
REQUEST	48		request_0	1603204270230	1603204275855	OK	 
REQUEST	70		request_0	1603204270240	1603204275869	OK	 
REQUEST	62		request_0	1603204270236	1603204275869	OK	 
REQUEST	79		request_0	1603204270244	1603204275869	OK	 
REQUEST	24		request_0	1603204270219	1603204275869	OK	 
REQUEST	11		request_0	1603204270212	1603204275861	OK	 
REQUEST	23		request_0	1603204270219	1603204275858	OK	 
REQUEST	58		request_0	1603204270234	1603204275853	OK	 
REQUEST	12		request_0	1603204270213	1603204276067	OK	 
REQUEST	5		request_0	1603204270205	1603204276061	OK	 
REQUEST	4		request_0	1603204270204	1603204276069	OK	 
REQUEST	19		request_0	1603204270217	1603204276067	OK	 
REQUEST	9		request_0	1603204270211	1603204276069	OK	 
REQUEST	66		request_0	1603204270238	1603204276073	OK	 
REQUEST	17		request_0	1603204270217	1603204276067	OK	 
REQUEST	13		request_0	1603204270214	1603204276067	OK	 
REQUEST	48		request_1	1603204291493	1603204296529	OK	 
REQUEST	6		request_0	1603204270209	1603204296535	OK	 
REQUEST	35		request_0	1603204270224	1603204296528	OK	 
REQUEST	11		request_1	1603204291485	1603204296530	OK	 
REQUEST	84		request_0	1603204270246	1603204296537	OK	 
REQUEST	13		request_1	1603204291498	1603204296539	OK	 
REQUEST	53		request_0	1603204270232	1603204296525	OK	 
REQUEST	58		request_1	1603204291489	1603204296531	OK	 
REQUEST	66		request_1	1603204291495	1603204296529	OK	 
REQUEST	9		request_1	1603204291489	1603204296540	OK	 
REQUEST	12		request_1	1603204291489	1603204296541	OK	 
REQUEST	79		request_1	1603204291493	1603204296529	OK	 
REQUEST	24		request_1	1603204291486	1603204296530	OK	 
REQUEST	7		request_0	1603204270210	1603204296529	OK	 
REQUEST	30		request_0	1603204270222	1603204296529	OK	 
REQUEST	17		request_1	1603204291490	1603204296529	OK	 
REQUEST	27		request_0	1603204270221	1603204296546	OK	 
REQUEST	26		request_0	1603204270220	1603204296546	OK	 
REQUEST	29		request_0	1603204270221	1603204296546	OK	 
REQUEST	1		request_0	1603204270199	1603204296549	OK	 
