RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603127076813	teste	3.0.2
REQUEST	10		request_1	1603127084575	1603127099728	OK	 
REQUEST	8		request_1	1603127084576	1603127099730	OK	 
REQUEST	17		request_1	1603127099729	1603127099774	OK	 
USER	AcessoMercadoAzul1	70	START	1603127099824	1603127099824
REQUEST	18		request_1	1603127099726	1603127099833	OK	 
USER	AcessoMercadoAzul1	71	START	1603127100154	1603127100154
REQUEST	1		request_5	1603127084577	1603127100201	OK	 
USER	AcessoMercadoAzul1	72	START	1603127100404	1603127100404
USER	AcessoMercadoAzul1	73	START	1603127100654	1603127100654
USER	AcessoMercadoAzul1	74	START	1603127100903	1603127100903
USER	AcessoMercadoAzul1	75	START	1603127101154	1603127101154
REQUEST	2		request_5	1603127084580	1603127101244	OK	 
REQUEST	5		request_2	1603127084580	1603127101276	OK	 
REQUEST	2		request_2	1603127084579	1603127101276	OK	 
REQUEST	15		request_5	1603127084577	1603127101279	OK	 
REQUEST	12		request_11	1603127089624	1603127101276	OK	 
REQUEST	3		request_2	1603127084584	1603127101294	OK	 
REQUEST	9		request_10	1603127084586	1603127101297	OK	 
REQUEST	8		request_5	1603127084578	1603127101298	OK	 
REQUEST	6		request_10	1603127084583	1603127101363	OK	 
REQUEST	12		request_5	1603127084577	1603127101367	OK	 
REQUEST	4		request_2	1603127084583	1603127101420	OK	 
REQUEST	16		request_2	1603127084586	1603127101420	OK	 
REQUEST	13		request_5	1603127084581	1603127101422	OK	 
USER	AcessoMercadoAzul1	76	START	1603127101494	1603127101494
REQUEST	13		request_11	1603127089627	1603127101557	OK	 
REQUEST	15		request_2	1603127084576	1603127101608	OK	 
REQUEST	4		request_11	1603127089622	1603127101608	OK	 
REQUEST	14		request_5	1603127084583	1603127101607	OK	 
REQUEST	9		request_5	1603127084585	1603127101627	OK	 
REQUEST	2		request_10	1603127084581	1603127101637	OK	 
USER	AcessoMercadoAzul1	77	START	1603127101824	1603127101824
USER	AcessoMercadoAzul1	78	START	1603127102154	1603127102154
REQUEST	12		request_10	1603127084578	1603127102155	OK	 
REQUEST	14		request_2	1603127084583	1603127102181	OK	 
REQUEST	4		request_10	1603127084587	1603127102187	OK	 
REQUEST	1		request_2	1603127084576	1603127102201	OK	 
REQUEST	13		request_10	1603127084582	1603127102201	OK	 
REQUEST	13		request_13	1603127094658	1603127102227	OK	 
REQUEST	3		request_10	1603127084586	1603127102234	OK	 
USER	AcessoMercadoAzul1	79	START	1603127102494	1603127102494
REQUEST	6		request_2	1603127084581	1603127102519	OK	 
REQUEST	15		request_11	1603127089624	1603127102519	OK	 
REQUEST	14		request_10	1603127084584	1603127102603	OK	 
USER	AcessoMercadoAzul1	80	START	1603127102853	1603127102853
REQUEST	7		request_5	1603127084576	1603127102859	OK	 
USER	AcessoMercadoAzul1	81	START	1603127103153	1603127103153
REQUEST	12		request_13	1603127094658	1603127103173	OK	 
REQUEST	6		request_5	1603127084582	1603127103228	OK	 
USER	AcessoMercadoAzul1	82	START	1603127103404	1603127103404
REQUEST	71		request_0	1603127100154	1603127103469	OK	 
REQUEST	8		request_10	1603127084579	1603127103584	OK	 
USER	AcessoMercadoAzul1	83	START	1603127103654	1603127103654
REQUEST	11		request_12	1603127089627	1603127103735	OK	 
REQUEST	13		request_12	1603127089629	1603127103741	OK	 
REQUEST	75		request_0	1603127101155	1603127103798	OK	 
REQUEST	13		request_2	1603127084580	1603127103812	OK	 
REQUEST	17		request_12	1603127099733	1603127103813	OK	 
REQUEST	15		request_13	1603127094662	1603127103861	OK	 
USER	AcessoMercadoAzul1	84	START	1603127103904	1603127103904
REQUEST	3		request_5	1603127084585	1603127103909	OK	 
REQUEST	71		request_1	1603127103473	1603127103929	OK	 
REQUEST	46		request_0	1603127092495	1603127103947	OK	 
REQUEST	72		request_0	1603127100404	1603127103949	OK	 
REQUEST	11		request_13	1603127094659	1603127103948	OK	 
REQUEST	18		request_2	1603127099727	1603127103954	OK	 
REQUEST	66		request_0	1603127098495	1603127103955	OK	 
REQUEST	25		request_0	1603127086154	1603127103968	OK	 
REQUEST	69		request_0	1603127099494	1603127103968	OK	 
REQUEST	32		request_0	1603127088406	1603127103968	OK	 
REQUEST	27		request_0	1603127086825	1603127103969	OK	 
REQUEST	17		request_5	1603127099731	1603127103969	OK	 
REQUEST	53		request_0	1603127094654	1603127103975	OK	 
REQUEST	37		request_0	1603127089825	1603127103983	OK	 
REQUEST	6		request_11	1603127089628	1603127103987	OK	 
REQUEST	11		request_11	1603127089622	1603127103987	OK	 
REQUEST	38		request_0	1603127090155	1603127103989	OK	 
REQUEST	10		request_13	1603127094662	1603127103991	OK	 
REQUEST	55		request_0	1603127095155	1603127103992	OK	 
REQUEST	51		request_0	1603127094154	1603127104009	OK	 
REQUEST	64		request_0	1603127097905	1603127104009	OK	 
REQUEST	21		request_0	1603127085155	1603127104009	OK	 
