RUN	basic.TestAmei	testamei	1602079652509	teste	3.0.2
USER	POST Authentication	1	START	1602079654974	1602079654974
USER	POST Authentication	2	START	1602079654978	1602079654978
USER	POST Authentication	3	START	1602079654979	1602079654979
USER	POST Authentication	4	START	1602079654979	1602079654979
USER	POST Authentication	5	START	1602079654980	1602079654980
REQUEST	1		POST OAuth Req	1602079655002	1602079660313	OK	 
REQUEST	2		POST OAuth Req	1602079655003	1602079660303	OK	 
REQUEST	3		POST OAuth Req	1602079655004	1602079660324	OK	 
REQUEST	4		POST OAuth Req	1602079655004	1602079660303	OK	 
REQUEST	5		POST OAuth Req	1602079655005	1602079660331	OK	 
REQUEST	2		get gerentes por unidade	1602079660398	1602079666079	OK	 
USER	POST Authentication	2	END	1602079654978	1602079666097
REQUEST	1		get gerentes por unidade	1602079660397	1602079666112	OK	 
USER	POST Authentication	1	END	1602079654974	1602079666115
REQUEST	4		get gerentes por unidade	1602079660397	1602079666268	OK	 
USER	POST Authentication	4	END	1602079654979	1602079666270
REQUEST	5		get gerentes por unidade	1602079660398	1602079666503	OK	 
USER	POST Authentication	5	END	1602079654980	1602079666509
REQUEST	3		get gerentes por unidade	1602079660397	1602079666774	OK	 
USER	POST Authentication	3	END	1602079654979	1602079666776
