RUN	basic.CadastrarAnuncio1	cadastraranuncio1	1603501831505	teste	3.0.2
USER	CadastrarAnuncio	1	START	1603501833857	1603501833857
USER	CadastrarAnuncio	2	START	1603501833887	1603501833887
USER	CadastrarAnuncio	3	START	1603501833888	1603501833888
USER	CadastrarAnuncio	4	START	1603501833889	1603501833889
USER	CadastrarAnuncio	5	START	1603501833890	1603501833890
USER	CadastrarAnuncio	6	START	1603501833891	1603501833891
USER	CadastrarAnuncio	7	START	1603501833892	1603501833892
USER	CadastrarAnuncio	8	START	1603501833893	1603501833893
USER	CadastrarAnuncio	9	START	1603501833894	1603501833894
USER	CadastrarAnuncio	10	START	1603501833896	1603501833896
USER	CadastrarAnuncio	11	START	1603501833898	1603501833898
USER	CadastrarAnuncio	12	START	1603501833899	1603501833899
USER	CadastrarAnuncio	13	START	1603501833900	1603501833900
USER	CadastrarAnuncio	14	START	1603501833904	1603501833904
USER	CadastrarAnuncio	15	START	1603501833906	1603501833906
USER	CadastrarAnuncio	16	START	1603501833908	1603501833908
USER	CadastrarAnuncio	17	START	1603501833908	1603501833908
USER	CadastrarAnuncio	18	START	1603501833909	1603501833909
USER	CadastrarAnuncio	19	START	1603501833909	1603501833909
USER	CadastrarAnuncio	20	START	1603501833910	1603501833910
REQUEST	8		Gerar Token	1603501833894	1603501840650	OK	 
REQUEST	17		Gerar Token	1603501833909	1603501840738	OK	 
REQUEST	12		Gerar Token	1603501833899	1603501840650	OK	 
REQUEST	15		Gerar Token	1603501833906	1603501840650	OK	 
REQUEST	4		Gerar Token	1603501833890	1603501840650	OK	 
REQUEST	14		Gerar Token	1603501833905	1603501840746	OK	 
REQUEST	1		Gerar Token	1603501833884	1603501840750	OK	 
REQUEST	5		Gerar Token	1603501833891	1603501841544	OK	 
REQUEST	10		Gerar Token	1603501833897	1603501841561	OK	 
REQUEST	11		Gerar Token	1603501833898	1603501841561	OK	 
REQUEST	7		Gerar Token	1603501833892	1603501841568	OK	 
REQUEST	6		Gerar Token	1603501833891	1603501841568	OK	 
REQUEST	2		Gerar Token	1603501833888	1603501841568	OK	 
REQUEST	3		Gerar Token	1603501833889	1603501841643	OK	 
REQUEST	13		Gerar Token	1603501833900	1603501841644	OK	 
REQUEST	9		Gerar Token	1603501833895	1603501841661	OK	 
REQUEST	16		Gerar Token	1603501833908	1603501841668	OK	 
REQUEST	20		Gerar Token	1603501833910	1603501841668	OK	 
REQUEST	18		Gerar Token	1603501833909	1603501841688	OK	 
REQUEST	19		Gerar Token	1603501833910	1603501841710	OK	 
REQUEST	5		Post_Anuncio	1603501846562	1603501851350	OK	 
USER	CadastrarAnuncio	5	END	1603501833890	1603501851366
REQUEST	6		Post_Anuncio	1603501846593	1603501851519	OK	 
USER	CadastrarAnuncio	6	END	1603501833891	1603501851523
REQUEST	16		Post_Anuncio	1603501846682	1603501851583	OK	 
REQUEST	10		Post_Anuncio	1603501846582	1603501851583	OK	 
REQUEST	14		Post_Anuncio	1603501845762	1603501851583	OK	 
REQUEST	11		Post_Anuncio	1603501846582	1603501851583	OK	 
REQUEST	9		Post_Anuncio	1603501846682	1603501851583	OK	 
REQUEST	4		Post_Anuncio	1603501845686	1603501851583	OK	 
USER	CadastrarAnuncio	16	END	1603501833908	1603501851587
REQUEST	12		Post_Anuncio	1603501845686	1603501851585	OK	 
USER	CadastrarAnuncio	11	END	1603501833898	1603501851587
USER	CadastrarAnuncio	9	END	1603501833894	1603501851587
USER	CadastrarAnuncio	10	END	1603501833896	1603501851587
USER	CadastrarAnuncio	14	END	1603501833904	1603501851588
REQUEST	2		Post_Anuncio	1603501846593	1603501851583	OK	 
USER	CadastrarAnuncio	12	END	1603501833899	1603501851589
USER	CadastrarAnuncio	4	END	1603501833889	1603501851589
REQUEST	13		Post_Anuncio	1603501846663	1603501851591	OK	 
USER	CadastrarAnuncio	2	END	1603501833887	1603501851591
USER	CadastrarAnuncio	13	END	1603501833900	1603501851594
REQUEST	15		Post_Anuncio	1603501845686	1603501851701	OK	 
USER	CadastrarAnuncio	15	END	1603501833906	1603501851704
REQUEST	19		Post_Anuncio	1603501846732	1603501851919	OK	 
USER	CadastrarAnuncio	19	END	1603501833909	1603501851922
REQUEST	7		Post_Anuncio	1603501846593	1603501852111	OK	 
REQUEST	17		Post_Anuncio	1603501845762	1603501852111	OK	 
REQUEST	20		Post_Anuncio	1603501846682	1603501852111	OK	 
REQUEST	3		Post_Anuncio	1603501846663	1603501852112	OK	 
USER	CadastrarAnuncio	7	END	1603501833892	1603501852115
USER	CadastrarAnuncio	17	END	1603501833908	1603501852115
USER	CadastrarAnuncio	20	END	1603501833910	1603501852115
USER	CadastrarAnuncio	3	END	1603501833888	1603501852115
REQUEST	8		Post_Anuncio	1603501845686	1603501852117	OK	 
REQUEST	18		Post_Anuncio	1603501846702	1603501852117	OK	 
USER	CadastrarAnuncio	8	END	1603501833893	1603501852120
USER	CadastrarAnuncio	18	END	1603501833909	1603501852120
REQUEST	1		Post_Anuncio	1603501845771	1603501852117	OK	 
USER	CadastrarAnuncio	1	END	1603501833857	1603501852122
