RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1602866765626	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1602866767994	1602866767994
USER	AcessoMercadoAzul1	2	START	1602866768087	1602866768087
USER	AcessoMercadoAzul1	3	START	1602866768147	1602866768147
USER	AcessoMercadoAzul1	4	START	1602866768207	1602866768207
USER	AcessoMercadoAzul1	5	START	1602866768267	1602866768267
USER	AcessoMercadoAzul1	6	START	1602866768327	1602866768327
USER	AcessoMercadoAzul1	7	START	1602866768387	1602866768387
USER	AcessoMercadoAzul1	8	START	1602866768447	1602866768447
USER	AcessoMercadoAzul1	9	START	1602866768507	1602866768507
USER	AcessoMercadoAzul1	10	START	1602866768558	1602866768558
USER	AcessoMercadoAzul1	11	START	1602866768617	1602866768617
USER	AcessoMercadoAzul1	12	START	1602866768677	1602866768677
USER	AcessoMercadoAzul1	13	START	1602866768737	1602866768737
USER	AcessoMercadoAzul1	14	START	1602866768797	1602866768797
USER	AcessoMercadoAzul1	15	START	1602866768857	1602866768857
USER	AcessoMercadoAzul1	16	START	1602866768917	1602866768917
USER	AcessoMercadoAzul1	17	START	1602866768977	1602866768977
USER	AcessoMercadoAzul1	18	START	1602866769037	1602866769037
USER	AcessoMercadoAzul1	19	START	1602866769087	1602866769087
USER	AcessoMercadoAzul1	20	START	1602866769147	1602866769147
USER	AcessoMercadoAzul1	21	START	1602866769207	1602866769207
USER	AcessoMercadoAzul1	22	START	1602866769267	1602866769267
USER	AcessoMercadoAzul1	23	START	1602866769328	1602866769328
USER	AcessoMercadoAzul1	24	START	1602866769387	1602866769387
USER	AcessoMercadoAzul1	25	START	1602866769447	1602866769447
USER	AcessoMercadoAzul1	26	START	1602866769507	1602866769507
USER	AcessoMercadoAzul1	27	START	1602866769558	1602866769558
USER	AcessoMercadoAzul1	28	START	1602866769618	1602866769618
USER	AcessoMercadoAzul1	29	START	1602866769677	1602866769677
USER	AcessoMercadoAzul1	30	START	1602866769737	1602866769737
USER	AcessoMercadoAzul1	31	START	1602866769797	1602866769797
USER	AcessoMercadoAzul1	32	START	1602866769867	1602866769867
USER	AcessoMercadoAzul1	33	START	1602866769927	1602866769927
USER	AcessoMercadoAzul1	34	START	1602866769987	1602866769987
USER	AcessoMercadoAzul1	35	START	1602866770047	1602866770047
USER	AcessoMercadoAzul1	36	START	1602866770057	1602866770057
USER	AcessoMercadoAzul1	37	START	1602866770128	1602866770128
USER	AcessoMercadoAzul1	38	START	1602866770188	1602866770188
USER	AcessoMercadoAzul1	39	START	1602866770248	1602866770248
USER	AcessoMercadoAzul1	40	START	1602866770307	1602866770307
USER	AcessoMercadoAzul1	41	START	1602866770377	1602866770377
USER	AcessoMercadoAzul1	42	START	1602866770437	1602866770437
USER	AcessoMercadoAzul1	43	START	1602866770497	1602866770497
USER	AcessoMercadoAzul1	44	START	1602866770557	1602866770557
USER	AcessoMercadoAzul1	45	START	1602866770627	1602866770627
USER	AcessoMercadoAzul1	46	START	1602866770687	1602866770687
USER	AcessoMercadoAzul1	47	START	1602866770747	1602866770747
USER	AcessoMercadoAzul1	48	START	1602866770807	1602866770807
USER	AcessoMercadoAzul1	49	START	1602866770877	1602866770877
USER	AcessoMercadoAzul1	50	START	1602866770937	1602866770937
USER	AcessoMercadoAzul1	51	START	1602866770998	1602866770998
USER	AcessoMercadoAzul1	52	START	1602866771058	1602866771058
USER	AcessoMercadoAzul1	53	START	1602866771117	1602866771117
USER	AcessoMercadoAzul1	54	START	1602866771177	1602866771177
USER	AcessoMercadoAzul1	55	START	1602866771237	1602866771237
USER	AcessoMercadoAzul1	56	START	1602866771287	1602866771287
USER	AcessoMercadoAzul1	57	START	1602866771347	1602866771347
USER	AcessoMercadoAzul1	58	START	1602866771407	1602866771407
USER	AcessoMercadoAzul1	59	START	1602866771467	1602866771467
USER	AcessoMercadoAzul1	60	START	1602866771527	1602866771527
USER	AcessoMercadoAzul1	61	START	1602866771587	1602866771587
USER	AcessoMercadoAzul1	62	START	1602866771648	1602866771648
USER	AcessoMercadoAzul1	63	START	1602866771707	1602866771707
USER	AcessoMercadoAzul1	64	START	1602866771757	1602866771757
USER	AcessoMercadoAzul1	65	START	1602866771817	1602866771817
USER	AcessoMercadoAzul1	66	START	1602866771877	1602866771877
USER	AcessoMercadoAzul1	67	START	1602866771937	1602866771937
USER	AcessoMercadoAzul1	68	START	1602866771997	1602866771997
USER	AcessoMercadoAzul1	69	START	1602866772058	1602866772058
USER	AcessoMercadoAzul1	70	START	1602866772117	1602866772117
USER	AcessoMercadoAzul1	71	START	1602866772177	1602866772177
USER	AcessoMercadoAzul1	72	START	1602866772237	1602866772237
USER	AcessoMercadoAzul1	73	START	1602866772287	1602866772287
USER	AcessoMercadoAzul1	74	START	1602866772347	1602866772347
USER	AcessoMercadoAzul1	75	START	1602866772407	1602866772407
USER	AcessoMercadoAzul1	76	START	1602866772467	1602866772467
USER	AcessoMercadoAzul1	77	START	1602866772528	1602866772528
USER	AcessoMercadoAzul1	78	START	1602866772587	1602866772587
USER	AcessoMercadoAzul1	79	START	1602866772647	1602866772647
USER	AcessoMercadoAzul1	80	START	1602866772707	1602866772707
USER	AcessoMercadoAzul1	81	START	1602866772757	1602866772757
USER	AcessoMercadoAzul1	82	START	1602866772817	1602866772817
USER	AcessoMercadoAzul1	83	START	1602866772877	1602866772877
USER	AcessoMercadoAzul1	84	START	1602866772937	1602866772937
USER	AcessoMercadoAzul1	85	START	1602866772997	1602866772997
USER	AcessoMercadoAzul1	86	START	1602866773058	1602866773058
USER	AcessoMercadoAzul1	87	START	1602866773128	1602866773128
USER	AcessoMercadoAzul1	88	START	1602866773187	1602866773187
USER	AcessoMercadoAzul1	89	START	1602866773247	1602866773247
USER	AcessoMercadoAzul1	90	START	1602866773307	1602866773307
USER	AcessoMercadoAzul1	91	START	1602866773377	1602866773377
USER	AcessoMercadoAzul1	92	START	1602866773437	1602866773437
USER	AcessoMercadoAzul1	93	START	1602866773498	1602866773498
USER	AcessoMercadoAzul1	94	START	1602866773557	1602866773557
USER	AcessoMercadoAzul1	95	START	1602866773627	1602866773627
REQUEST	4		request_0	1602866768208	1602866773639	OK	 
REQUEST	64		request_0	1602866771758	1602866773640	OK	 
REQUEST	24		request_0	1602866769388	1602866773638	OK	 
REQUEST	7		request_0	1602866768388	1602866773639	OK	 
REQUEST	45		request_0	1602866770628	1602866773641	OK	 
REQUEST	21		request_0	1602866769208	1602866773641	OK	 
REQUEST	44		request_0	1602866770558	1602866773640	OK	 
REQUEST	11		request_0	1602866768618	1602866773638	OK	 
REQUEST	81		request_0	1602866772758	1602866773640	OK	 
REQUEST	10		request_0	1602866768559	1602866773640	OK	 
REQUEST	25		request_0	1602866769448	1602866773641	OK	 
REQUEST	83		request_0	1602866772877	1602866773638	OK	 
REQUEST	70		request_0	1602866772118	1602866773660	OK	 
REQUEST	66		request_0	1602866771878	1602866773638	OK	 
USER	AcessoMercadoAzul1	96	START	1602866773687	1602866773687
REQUEST	15		request_0	1602866768857	1602866773693	OK	 
REQUEST	94		request_0	1602866773558	1602866773702	OK	 
USER	AcessoMercadoAzul1	97	START	1602866773747	1602866773747
