RUN	basic.ListarAnuncios	listaranuncios	1603488767763	teste	3.0.2
USER	ListarAnuncios3	1	START	1603488770135	1603488770135
USER	ListarAnuncios3	2	START	1603488770486	1603488770486
USER	ListarAnuncios3	3	START	1603488770816	1603488770816
USER	ListarAnuncios3	4	START	1603488771145	1603488771145
USER	ListarAnuncios3	5	START	1603488771486	1603488771486
USER	ListarAnuncios3	6	START	1603488771816	1603488771816
USER	ListarAnuncios3	7	START	1603488772145	1603488772145
USER	ListarAnuncios3	8	START	1603488772465	1603488772465
USER	ListarAnuncios3	9	START	1603488772805	1603488772805
USER	ListarAnuncios3	10	START	1603488773135	1603488773135
USER	ListarAnuncios3	11	START	1603488773466	1603488773466
USER	ListarAnuncios3	12	START	1603488773795	1603488773795
USER	ListarAnuncios3	13	START	1603488774136	1603488774136
USER	ListarAnuncios3	14	START	1603488774466	1603488774466
USER	ListarAnuncios3	15	START	1603488774796	1603488774796
USER	ListarAnuncios3	16	START	1603488775135	1603488775135
USER	ListarAnuncios3	17	START	1603488775466	1603488775466
USER	ListarAnuncios3	18	START	1603488775796	1603488775796
USER	ListarAnuncios3	19	START	1603488776136	1603488776136
REQUEST	13		Gerar Token	1603488774138	1603488776174	OK	 
REQUEST	17		Gerar Token	1603488775467	1603488776229	OK	 
REQUEST	7		Gerar Token	1603488772146	1603488776229	OK	 
REQUEST	15		Gerar Token	1603488774796	1603488776320	OK	 
USER	ListarAnuncios3	20	START	1603488776466	1603488776466
USER	ListarAnuncios3	21	START	1603488776795	1603488776795
USER	ListarAnuncios3	22	START	1603488777135	1603488777135
REQUEST	3		Gerar Token	1603488770818	1603488777359	OK	 
REQUEST	12		Gerar Token	1603488773796	1603488777359	OK	 
REQUEST	11		Gerar Token	1603488773468	1603488777422	OK	 
REQUEST	1		Gerar Token	1603488770181	1603488777436	OK	 
USER	ListarAnuncios3	23	START	1603488777466	1603488777466
REQUEST	2		Gerar Token	1603488770488	1603488777514	OK	 
REQUEST	4		Gerar Token	1603488771146	1603488777520	OK	 
REQUEST	16		Gerar Token	1603488775136	1603488777534	OK	 
REQUEST	9		Gerar Token	1603488772807	1603488777551	OK	 
REQUEST	10		Gerar Token	1603488773137	1603488777551	OK	 
REQUEST	5		Gerar Token	1603488771487	1603488777560	OK	 
REQUEST	8		Gerar Token	1603488772467	1603488777560	OK	 
REQUEST	14		Gerar Token	1603488774468	1603488777561	OK	 
REQUEST	6		Gerar Token	1603488771817	1603488777579	OK	 
REQUEST	18		Gerar Token	1603488775797	1603488777663	OK	 
REQUEST	19		Gerar Token	1603488776138	1603488777721	OK	 
REQUEST	22		Gerar Token	1603488777137	1603488777729	OK	 
REQUEST	20		Gerar Token	1603488776468	1603488777767	OK	 
USER	ListarAnuncios3	24	START	1603488777795	1603488777795
REQUEST	21		Gerar Token	1603488776796	1603488777834	OK	 
REQUEST	23		Gerar Token	1603488777468	1603488777908	OK	 
USER	ListarAnuncios3	25	START	1603488778135	1603488778135
REQUEST	24		Gerar Token	1603488777796	1603488778205	OK	 
USER	ListarAnuncios3	26	START	1603488778465	1603488778465
REQUEST	25		Gerar Token	1603488778136	1603488778710	OK	 
USER	ListarAnuncios3	27	START	1603488778795	1603488778795
REQUEST	26		Gerar Token	1603488778466	1603488779019	OK	 
USER	ListarAnuncios3	28	START	1603488779135	1603488779135
REQUEST	27		Gerar Token	1603488778796	1603488779344	OK	 
USER	ListarAnuncios3	29	START	1603488779466	1603488779466
REQUEST	28		Gerar Token	1603488779136	1603488779612	OK	 
USER	ListarAnuncios3	30	START	1603488779795	1603488779795
REQUEST	29		Gerar Token	1603488779466	1603488779869	OK	 
USER	ListarAnuncios3	31	START	1603488780135	1603488780135
REQUEST	30		Gerar Token	1603488779797	1603488780261	OK	 
USER	ListarAnuncios3	32	START	1603488780465	1603488780465
REQUEST	31		Gerar Token	1603488780136	1603488780553	OK	 
USER	ListarAnuncios3	33	START	1603488780795	1603488780795
REQUEST	32		Gerar Token	1603488780467	1603488780833	OK	 
USER	ListarAnuncios3	34	START	1603488781136	1603488781136
REQUEST	33		Gerar Token	1603488780797	1603488781187	OK	 
USER	ListarAnuncios3	35	START	1603488781466	1603488781466
REQUEST	34		Gerar Token	1603488781137	1603488781524	OK	 
USER	ListarAnuncios3	36	START	1603488781806	1603488781806
REQUEST	35		Gerar Token	1603488781467	1603488781916	OK	 
