RUN	basic.TestAmei	testamei	1602268565183	teste	3.0.2
USER	POST Authentication	1	START	1602268567639	1602268567639
USER	POST Authentication	2	START	1602268567643	1602268567643
USER	POST Authentication	3	START	1602268567644	1602268567644
REQUEST	2		POST OAuth Req	1602268567670	1602268572920	OK	 
REQUEST	3		POST OAuth Req	1602268567670	1602268572918	OK	 
REQUEST	1		POST OAuth Req	1602268567668	1602268572918	OK	 
USER	POST Authentication	3	END	1602268567644	1602268572999
USER	POST Authentication	1	END	1602268567639	1602268572999
USER	POST Authentication	2	END	1602268567643	1602268572999
