RUN	basic.TestAmei	testamei	1602078155131	teste	3.0.2
USER	POST Authentication	1	START	1602078157598	1602078157598
USER	POST Authentication	2	START	1602078157602	1602078157602
USER	POST Authentication	3	START	1602078157602	1602078157602
USER	POST Authentication	4	START	1602078157603	1602078157603
USER	POST Authentication	5	START	1602078157603	1602078157603
REQUEST	3		POST OAuth Req	1602078157631	1602078162978	OK	 
REQUEST	2		POST OAuth Req	1602078157630	1602078162995	OK	 
REQUEST	1		POST OAuth Req	1602078157628	1602078162995	OK	 
REQUEST	4		POST OAuth Req	1602078157634	1602078162978	OK	 
REQUEST	5		POST OAuth Req	1602078157635	1602078162995	OK	 
REQUEST	3		get	1602078163074	1602078168270	OK	 
USER	POST Authentication	3	END	1602078157602	1602078168278
REQUEST	5		get	1602078163073	1602078168704	OK	 
REQUEST	4		get	1602078163074	1602078168704	OK	 
USER	POST Authentication	5	END	1602078157603	1602078168708
USER	POST Authentication	4	END	1602078157603	1602078168708
REQUEST	2		get	1602078163074	1602078169280	OK	 
USER	POST Authentication	2	END	1602078157602	1602078169283
REQUEST	1		get	1602078163074	1602078169293	OK	 
USER	POST Authentication	1	END	1602078157598	1602078169295
