RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1602865882012	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1602865884416	1602865884416
USER	AcessoMercadoAzul1	2	START	1602865884515	1602865884515
USER	AcessoMercadoAzul1	3	START	1602865884575	1602865884575
USER	AcessoMercadoAzul1	4	START	1602865884636	1602865884636
USER	AcessoMercadoAzul1	5	START	1602865884695	1602865884695
USER	AcessoMercadoAzul1	6	START	1602865884746	1602865884746
USER	AcessoMercadoAzul1	7	START	1602865884806	1602865884806
USER	AcessoMercadoAzul1	8	START	1602865884866	1602865884866
USER	AcessoMercadoAzul1	9	START	1602865884925	1602865884925
USER	AcessoMercadoAzul1	10	START	1602865884986	1602865884986
USER	AcessoMercadoAzul1	11	START	1602865885045	1602865885045
USER	AcessoMercadoAzul1	12	START	1602865885105	1602865885105
USER	AcessoMercadoAzul1	13	START	1602865885165	1602865885165
USER	AcessoMercadoAzul1	14	START	1602865885215	1602865885215
USER	AcessoMercadoAzul1	15	START	1602865885275	1602865885275
USER	AcessoMercadoAzul1	16	START	1602865885336	1602865885336
USER	AcessoMercadoAzul1	17	START	1602865885396	1602865885396
USER	AcessoMercadoAzul1	18	START	1602865885456	1602865885456
USER	AcessoMercadoAzul1	19	START	1602865885516	1602865885516
USER	AcessoMercadoAzul1	20	START	1602865885576	1602865885576
USER	AcessoMercadoAzul1	21	START	1602865885636	1602865885636
USER	AcessoMercadoAzul1	22	START	1602865885696	1602865885696
USER	AcessoMercadoAzul1	23	START	1602865885746	1602865885746
USER	AcessoMercadoAzul1	24	START	1602865885806	1602865885806
USER	AcessoMercadoAzul1	25	START	1602865885866	1602865885866
USER	AcessoMercadoAzul1	26	START	1602865885926	1602865885926
USER	AcessoMercadoAzul1	27	START	1602865885986	1602865885986
USER	AcessoMercadoAzul1	28	START	1602865886046	1602865886046
USER	AcessoMercadoAzul1	29	START	1602865886106	1602865886106
USER	AcessoMercadoAzul1	30	START	1602865886166	1602865886166
USER	AcessoMercadoAzul1	31	START	1602865886216	1602865886216
USER	AcessoMercadoAzul1	32	START	1602865886276	1602865886276
USER	AcessoMercadoAzul1	33	START	1602865886336	1602865886336
USER	AcessoMercadoAzul1	34	START	1602865886395	1602865886395
USER	AcessoMercadoAzul1	35	START	1602865886456	1602865886456
USER	AcessoMercadoAzul1	36	START	1602865886485	1602865886485
USER	AcessoMercadoAzul1	37	START	1602865886546	1602865886546
USER	AcessoMercadoAzul1	38	START	1602865886605	1602865886605
USER	AcessoMercadoAzul1	39	START	1602865886675	1602865886675
USER	AcessoMercadoAzul1	40	START	1602865886736	1602865886736
USER	AcessoMercadoAzul1	41	START	1602865886795	1602865886795
