RUN	basic.TestAmei	testamei	1602093783504	teste	3.0.2
USER	POST Authentication	1	START	1602093785994	1602093785994
USER	POST Authentication	2	START	1602093785998	1602093785998
USER	POST Authentication	3	START	1602093785999	1602093785999
USER	POST Authentication	4	START	1602093785999	1602093785999
USER	POST Authentication	5	START	1602093785999	1602093785999
REQUEST	3		POST OAuth Req	1602093786029	1602093791314	OK	 
REQUEST	4		POST OAuth Req	1602093786029	1602093791292	OK	 
REQUEST	2		POST OAuth Req	1602093786028	1602093791287	OK	 
REQUEST	5		POST OAuth Req	1602093786030	1602093791314	OK	 
REQUEST	1		POST OAuth Req	1602093786026	1602093791300	OK	 
REQUEST	2		get gerentes por unidade	1602093791382	1602093797053	OK	 
REQUEST	4		get gerentes por unidade	1602093791382	1602093797053	OK	 
REQUEST	5		get gerentes por unidade	1602093791382	1602093797060	OK	 
REQUEST	1		get gerentes por unidade	1602093791382	1602093797305	OK	 
REQUEST	3		get gerentes por unidade	1602093791382	1602093798329	OK	 
REQUEST	1		Post atualizar saldo	1602093797306	1602093798888	OK	 
USER	POST Authentication	1	END	1602093785994	1602093798901
REQUEST	4		Post atualizar saldo	1602093797068	1602093798921	OK	 
USER	POST Authentication	4	END	1602093785999	1602093798924
REQUEST	2		Post atualizar saldo	1602093797068	1602093798989	OK	 
USER	POST Authentication	2	END	1602093785998	1602093798992
REQUEST	5		Post atualizar saldo	1602093797068	1602093799035	OK	 
USER	POST Authentication	5	END	1602093785999	1602093799036
REQUEST	3		Post atualizar saldo	1602093798330	1602093799182	OK	 
USER	POST Authentication	3	END	1602093785999	1602093799184
