RUN	basic.ListarAnuncios	listaranuncios	1603286431127	teste	3.0.2
USER	ListarAnuncios3	110	START	1603286433401	1603286433401
USER	ListarAnuncios3	111	START	1603286433401	1603286433401
USER	ListarAnuncios3	112	START	1603286433402	1603286433402
USER	ListarAnuncios3	113	START	1603286433402	1603286433402
USER	ListarAnuncios3	114	START	1603286433402	1603286433402
USER	ListarAnuncios3	115	START	1603286433402	1603286433402
USER	ListarAnuncios3	116	START	1603286433402	1603286433402
USER	ListarAnuncios3	117	START	1603286433402	1603286433402
USER	ListarAnuncios3	118	START	1603286433402	1603286433402
USER	ListarAnuncios3	119	START	1603286433403	1603286433403
USER	ListarAnuncios3	120	START	1603286433403	1603286433403
USER	ListarAnuncios3	121	START	1603286433403	1603286433403
USER	ListarAnuncios3	122	START	1603286433403	1603286433403
USER	ListarAnuncios3	123	START	1603286433403	1603286433403
USER	ListarAnuncios3	124	START	1603286433403	1603286433403
USER	ListarAnuncios3	125	START	1603286433403	1603286433403
USER	ListarAnuncios3	126	START	1603286433404	1603286433404
USER	ListarAnuncios3	127	START	1603286433404	1603286433404
USER	ListarAnuncios3	128	START	1603286433404	1603286433404
USER	ListarAnuncios3	129	START	1603286433405	1603286433405
USER	ListarAnuncios3	130	START	1603286433405	1603286433405
USER	ListarAnuncios3	131	START	1603286433405	1603286433405
USER	ListarAnuncios3	132	START	1603286433405	1603286433405
USER	ListarAnuncios3	133	START	1603286433405	1603286433405
USER	ListarAnuncios3	134	START	1603286433405	1603286433405
USER	ListarAnuncios3	135	START	1603286433406	1603286433406
USER	ListarAnuncios3	136	START	1603286433406	1603286433406
USER	ListarAnuncios3	137	START	1603286433406	1603286433406
USER	ListarAnuncios3	138	START	1603286433406	1603286433406
USER	ListarAnuncios3	139	START	1603286433406	1603286433406
USER	ListarAnuncios3	140	START	1603286433406	1603286433406
USER	ListarAnuncios3	141	START	1603286433406	1603286433406
USER	ListarAnuncios3	142	START	1603286433407	1603286433407
USER	ListarAnuncios3	143	START	1603286433407	1603286433407
USER	ListarAnuncios3	144	START	1603286433407	1603286433407
USER	ListarAnuncios3	145	START	1603286433407	1603286433407
USER	ListarAnuncios3	146	START	1603286433407	1603286433407
USER	ListarAnuncios3	147	START	1603286433407	1603286433407
USER	ListarAnuncios3	148	START	1603286433407	1603286433407
USER	ListarAnuncios3	149	START	1603286433408	1603286433408
USER	ListarAnuncios3	150	START	1603286433408	1603286433408
USER	ListarAnuncios3	151	START	1603286433408	1603286433408
USER	ListarAnuncios3	152	START	1603286433408	1603286433408
USER	ListarAnuncios3	153	START	1603286433408	1603286433408
USER	ListarAnuncios3	154	START	1603286433408	1603286433408
USER	ListarAnuncios3	155	START	1603286433409	1603286433409
USER	ListarAnuncios3	156	START	1603286433409	1603286433409
USER	ListarAnuncios3	157	START	1603286433409	1603286433409
USER	ListarAnuncios3	158	START	1603286433409	1603286433409
USER	ListarAnuncios3	159	START	1603286433409	1603286433409
USER	ListarAnuncios3	160	START	1603286433409	1603286433409
USER	ListarAnuncios3	161	START	1603286433410	1603286433410
USER	ListarAnuncios3	162	START	1603286433410	1603286433410
USER	ListarAnuncios3	163	START	1603286433410	1603286433410
USER	ListarAnuncios3	164	START	1603286433410	1603286433410
USER	ListarAnuncios3	165	START	1603286433410	1603286433410
USER	ListarAnuncios3	166	START	1603286433410	1603286433410
USER	ListarAnuncios3	167	START	1603286433411	1603286433411
USER	ListarAnuncios3	168	START	1603286433411	1603286433411
USER	ListarAnuncios3	169	START	1603286433411	1603286433411
USER	ListarAnuncios3	170	START	1603286433411	1603286433411
USER	ListarAnuncios3	171	START	1603286433411	1603286433411
USER	ListarAnuncios3	172	START	1603286433411	1603286433411
USER	ListarAnuncios3	173	START	1603286433412	1603286433412
USER	ListarAnuncios3	174	START	1603286433412	1603286433412
USER	ListarAnuncios3	175	START	1603286433412	1603286433412
USER	ListarAnuncios3	176	START	1603286433412	1603286433412
USER	ListarAnuncios3	177	START	1603286433412	1603286433412
USER	ListarAnuncios3	178	START	1603286433412	1603286433412
USER	ListarAnuncios3	179	START	1603286433412	1603286433412
USER	ListarAnuncios3	180	START	1603286433412	1603286433412
USER	ListarAnuncios3	181	START	1603286433413	1603286433413
USER	ListarAnuncios3	182	START	1603286433413	1603286433413
USER	ListarAnuncios3	183	START	1603286433413	1603286433413
USER	ListarAnuncios3	184	START	1603286433413	1603286433413
USER	ListarAnuncios3	185	START	1603286433413	1603286433413
USER	ListarAnuncios3	186	START	1603286433413	1603286433413
USER	ListarAnuncios3	187	START	1603286433414	1603286433414
USER	ListarAnuncios3	188	START	1603286433414	1603286433414
USER	ListarAnuncios3	189	START	1603286433414	1603286433414
USER	ListarAnuncios3	190	START	1603286433414	1603286433414
USER	ListarAnuncios3	191	START	1603286433414	1603286433414
USER	ListarAnuncios3	192	START	1603286433414	1603286433414
USER	ListarAnuncios3	193	START	1603286433414	1603286433414
USER	ListarAnuncios3	194	START	1603286433415	1603286433415
USER	ListarAnuncios3	195	START	1603286433415	1603286433415
USER	ListarAnuncios3	196	START	1603286433415	1603286433415
USER	ListarAnuncios3	197	START	1603286433415	1603286433415
USER	ListarAnuncios3	198	START	1603286433415	1603286433415
USER	ListarAnuncios3	199	START	1603286433415	1603286433415
USER	ListarAnuncios3	200	START	1603286433416	1603286433416
REQUEST	43		Gerar Token	1603286433446	1603286443423	OK	 
REQUEST	53		Gerar Token	1603286433448	1603286444715	OK	 
REQUEST	21		Gerar Token	1603286433440	1603286445721	OK	 
REQUEST	77		Gerar Token	1603286433453	1603286446454	OK	 
REQUEST	29		Gerar Token	1603286433442	1603286446536	OK	 
REQUEST	93		Gerar Token	1603286433457	1603286446543	OK	 
REQUEST	197		Gerar Token	1603286433478	1603286446562	OK	 
REQUEST	5		Gerar Token	1603286433426	1603286446662	OK	 
REQUEST	182		Gerar Token	1603286433476	1603286446669	OK	 
REQUEST	100		Gerar Token	1603286433459	1603286446799	OK	 
REQUEST	62		Gerar Token	1603286433450	1603286446799	OK	 
REQUEST	194		Gerar Token	1603286433478	1603286446799	OK	 
REQUEST	22		Gerar Token	1603286433441	1603286446852	OK	 
REQUEST	8		Gerar Token	1603286433429	1603286446923	OK	 
REQUEST	165		Gerar Token	1603286433473	1603286446922	OK	 
REQUEST	59		Gerar Token	1603286433449	1603286446922	OK	 
REQUEST	19		Gerar Token	1603286433440	1603286446953	OK	 
REQUEST	61		Gerar Token	1603286433450	1603286446967	OK	 
REQUEST	36		Gerar Token	1603286433444	1603286447161	OK	 
REQUEST	2		Gerar Token	1603286433422	1603286447161	OK	 
REQUEST	166		Gerar Token	1603286433473	1603286447161	OK	 
REQUEST	52		Gerar Token	1603286433448	1603286447164	OK	 
REQUEST	101		Gerar Token	1603286433460	1603286447255	OK	 
REQUEST	107		Gerar Token	1603286433462	1603286447328	OK	 
REQUEST	11		Gerar Token	1603286433435	1603286447416	OK	 
REQUEST	193		Gerar Token	1603286433477	1603286447418	OK	 
REQUEST	88		Gerar Token	1603286433455	1603286447512	OK	 
