RUN	basic.ListarAnuncios2	listaranuncios2	1603221950117	teste	3.0.2
USER	ListarAnuncios2	1	START	1603221952465	1603221952465
USER	ListarAnuncios2	2	START	1603221952983	1603221952983
USER	ListarAnuncios2	3	START	1603221953483	1603221953483
USER	ListarAnuncios2	4	START	1603221953982	1603221953982
USER	ListarAnuncios2	5	START	1603221954483	1603221954483
USER	ListarAnuncios2	6	START	1603221955472	1603221955472
USER	ListarAnuncios2	7	START	1603221955972	1603221955972
USER	ListarAnuncios2	8	START	1603221956472	1603221956472
USER	ListarAnuncios2	9	START	1603221956972	1603221956972
USER	ListarAnuncios2	10	START	1603221957472	1603221957472
USER	ListarAnuncios2	11	START	1603221958473	1603221958473
REQUEST	9		Gerar Token	1603221956974	1603221958492	OK	 
REQUEST	8		Gerar Token	1603221956474	1603221958491	OK	 
REQUEST	6		Gerar Token	1603221955474	1603221958545	OK	 
REQUEST	4		Gerar Token	1603221953983	1603221958607	OK	 
REQUEST	7		Gerar Token	1603221955975	1603221958616	OK	 
REQUEST	2		Gerar Token	1603221952991	1603221958492	OK	 
REQUEST	3		Gerar Token	1603221953485	1603221958611	OK	 
REQUEST	5		Gerar Token	1603221954484	1603221958609	OK	 
REQUEST	1		Gerar Token	1603221952496	1603221958492	OK	 
REQUEST	10		Gerar Token	1603221957474	1603221958655	OK	 
USER	ListarAnuncios2	12	START	1603221958973	1603221958973
REQUEST	11		Gerar Token	1603221958475	1603221959003	OK	 
USER	ListarAnuncios2	13	START	1603221959473	1603221959473
REQUEST	12		Gerar Token	1603221958974	1603221959516	OK	 
USER	ListarAnuncios2	14	START	1603221959973	1603221959973
REQUEST	13		Gerar Token	1603221959475	1603221960210	OK	 
USER	ListarAnuncios2	15	START	1603221960473	1603221960473
REQUEST	14		Gerar Token	1603221959975	1603221960518	OK	 
REQUEST	15		Gerar Token	1603221960474	1603221960882	OK	 
USER	ListarAnuncios2	16	START	1603221961473	1603221961473
USER	ListarAnuncios2	17	START	1603221961972	1603221961972
REQUEST	16		Gerar Token	1603221961474	1603221962006	OK	 
USER	ListarAnuncios2	18	START	1603221962473	1603221962473
REQUEST	17		Gerar Token	1603221961974	1603221962475	OK	 
USER	ListarAnuncios2	19	START	1603221962973	1603221962973
REQUEST	18		Gerar Token	1603221962474	1603221963017	OK	 
USER	ListarAnuncios2	20	START	1603221963473	1603221963473
REQUEST	19		Gerar Token	1603221962974	1603221963516	OK	 
USER	ListarAnuncios2	21	START	1603221964473	1603221964473
USER	ListarAnuncios2	22	START	1603221964973	1603221964973
USER	ListarAnuncios2	23	START	1603221965473	1603221965473
USER	ListarAnuncios2	24	START	1603221965973	1603221965973
USER	ListarAnuncios2	25	START	1603221966473	1603221966473
USER	ListarAnuncios2	26	START	1603221967472	1603221967472
USER	ListarAnuncios2	27	START	1603221967973	1603221967973
USER	ListarAnuncios2	28	START	1603221968473	1603221968473
REQUEST	20		Gerar Token	1603221963474	1603221968541	OK	 
REQUEST	11		request_0	1603221964023	1603221968851	OK	 
REQUEST	14		request_0	1603221965535	1603221968873	OK	 
REQUEST	19		request_0	1603221968534	1603221968873	OK	 
REQUEST	10		request_0	1603221963673	1603221968899	OK	 
REQUEST	16		request_0	1603221967024	1603221968900	OK	 
REQUEST	15		request_0	1603221965905	1603221968921	OK	 
REQUEST	6		request_0	1603221963564	1603221968921	OK	 
REQUEST	1		request_0	1603221963507	1603221968923	OK	 
REQUEST	13		request_0	1603221965224	1603221968927	OK	 
REQUEST	7		request_0	1603221963643	1603221968946	OK	 
USER	ListarAnuncios2	29	START	1603221968972	1603221968972
REQUEST	9		request_0	1603221963514	1603221968974	OK	 
REQUEST	4		request_0	1603221963633	1603221968974	OK	 
REQUEST	2		request_0	1603221963514	1603221968974	OK	 
REQUEST	5		request_0	1603221963623	1603221968982	OK	 
REQUEST	12		request_0	1603221964534	1603221969000	OK	 
REQUEST	8		request_0	1603221963514	1603221969000	OK	 
USER	ListarAnuncios2	30	START	1603221969472	1603221969472
USER	ListarAnuncios2	31	START	1603221970473	1603221970473
USER	ListarAnuncios2	32	START	1603221970973	1603221970973
USER	ListarAnuncios2	33	START	1603221971473	1603221971473
USER	ListarAnuncios2	34	START	1603221971973	1603221971973
USER	ListarAnuncios2	35	START	1603221972473	1603221972473
USER	ListarAnuncios2	36	START	1603221973473	1603221973473
USER	ListarAnuncios2	37	START	1603221973972	1603221973972
USER	ListarAnuncios2	38	START	1603221974473	1603221974473
USER	ListarAnuncios2	39	START	1603221974973	1603221974973
USER	ListarAnuncios2	40	START	1603221975473	1603221975473
USER	ListarAnuncios2	41	START	1603221976473	1603221976473
USER	ListarAnuncios2	42	START	1603221976973	1603221976973
USER	ListarAnuncios2	43	START	1603221977473	1603221977473
USER	ListarAnuncios2	44	START	1603221977973	1603221977973
USER	ListarAnuncios2	45	START	1603221978472	1603221978472
REQUEST	1		request_1	1603221969013	1603221979112	OK	 
REQUEST	12		request_1	1603221969029	1603221979113	OK	 
REQUEST	10		request_1	1603221969031	1603221979114	OK	 
