RUN	basic.TestAmei	testamei	1602265143870	teste	3.0.2
USER	POST Authentication	1	START	1602265145202	1602265145202
USER	POST Authentication	2	START	1602265145240	1602265145240
USER	POST Authentication	3	START	1602265145261	1602265145261
USER	POST Authentication	4	START	1602265145281	1602265145281
USER	POST Authentication	5	START	1602265145301	1602265145301
USER	POST Authentication	6	START	1602265145320	1602265145320
USER	POST Authentication	7	START	1602265145341	1602265145341
USER	POST Authentication	8	START	1602265145361	1602265145361
USER	POST Authentication	9	START	1602265145380	1602265145380
USER	POST Authentication	10	START	1602265145401	1602265145401
USER	POST Authentication	11	START	1602265145421	1602265145421
USER	POST Authentication	12	START	1602265145440	1602265145440
USER	POST Authentication	13	START	1602265145461	1602265145461
USER	POST Authentication	14	START	1602265145480	1602265145480
USER	POST Authentication	15	START	1602265145500	1602265145500
USER	POST Authentication	16	START	1602265145521	1602265145521
USER	POST Authentication	17	START	1602265145540	1602265145540
USER	POST Authentication	18	START	1602265145560	1602265145560
USER	POST Authentication	19	START	1602265145581	1602265145581
USER	POST Authentication	20	START	1602265145601	1602265145601
USER	POST Authentication	21	START	1602265145620	1602265145620
USER	POST Authentication	22	START	1602265145641	1602265145641
USER	POST Authentication	23	START	1602265145661	1602265145661
USER	POST Authentication	24	START	1602265145680	1602265145680
USER	POST Authentication	25	START	1602265145700	1602265145700
USER	POST Authentication	26	START	1602265145721	1602265145721
USER	POST Authentication	27	START	1602265145741	1602265145741
USER	POST Authentication	28	START	1602265145770	1602265145770
USER	POST Authentication	29	START	1602265145790	1602265145790
REQUEST	2		POST OAuth Req	1602265145241	1602265145713	OK	 
REQUEST	9		POST OAuth Req	1602265145381	1602265145725	OK	 
REQUEST	7		POST OAuth Req	1602265145342	1602265145713	OK	 
REQUEST	3		POST OAuth Req	1602265145262	1602265145713	OK	 
REQUEST	10		POST OAuth Req	1602265145402	1602265145749	OK	 
REQUEST	6		POST OAuth Req	1602265145322	1602265145713	OK	 
REQUEST	1		POST OAuth Req	1602265145227	1602265145708	OK	 
REQUEST	4		POST OAuth Req	1602265145282	1602265145713	OK	 
REQUEST	11		POST OAuth Req	1602265145423	1602265145776	OK	 
REQUEST	12		POST OAuth Req	1602265145442	1602265145796	OK	 
REQUEST	5		POST OAuth Req	1602265145303	1602265145708	OK	 
REQUEST	8		POST OAuth Req	1602265145362	1602265145740	OK	 
USER	POST Authentication	7	END	1602265145341	1602265145802
USER	POST Authentication	10	END	1602265145401	1602265145802
USER	POST Authentication	3	END	1602265145261	1602265145803
USER	POST Authentication	8	END	1602265145361	1602265145803
USER	POST Authentication	12	END	1602265145440	1602265145803
USER	POST Authentication	9	END	1602265145380	1602265145803
USER	POST Authentication	5	END	1602265145301	1602265145804
USER	POST Authentication	11	END	1602265145421	1602265145804
USER	POST Authentication	1	END	1602265145202	1602265145805
USER	POST Authentication	6	END	1602265145320	1602265145806
USER	POST Authentication	4	END	1602265145281	1602265145806
USER	POST Authentication	2	END	1602265145240	1602265145807
USER	POST Authentication	30	START	1602265145811	1602265145811
REQUEST	13		POST OAuth Req	1602265145463	1602265145816	OK	 
USER	POST Authentication	13	END	1602265145461	1602265145817
USER	POST Authentication	31	START	1602265145831	1602265145831
REQUEST	14		POST OAuth Req	1602265145482	1602265145846	OK	 
USER	POST Authentication	14	END	1602265145480	1602265145850
USER	POST Authentication	32	START	1602265145850	1602265145850
REQUEST	15		POST OAuth Req	1602265145502	1602265145863	OK	 
USER	POST Authentication	15	END	1602265145500	1602265145866
REQUEST	16		POST OAuth Req	1602265145523	1602265145869	OK	 
USER	POST Authentication	33	START	1602265145870	1602265145870
USER	POST Authentication	16	END	1602265145521	1602265145872
USER	POST Authentication	34	START	1602265145891	1602265145891
USER	POST Authentication	35	START	1602265145910	1602265145910
USER	POST Authentication	36	START	1602265145930	1602265145930
USER	POST Authentication	37	START	1602265145951	1602265145951
USER	POST Authentication	38	START	1602265145970	1602265145970
USER	POST Authentication	39	START	1602265145991	1602265145991
REQUEST	20		POST OAuth Req	1602265145603	1602265146004	OK	 
REQUEST	17		POST OAuth Req	1602265145542	1602265146004	OK	 
REQUEST	21		POST OAuth Req	1602265145622	1602265146004	OK	 
USER	POST Authentication	20	END	1602265145601	1602265146009
USER	POST Authentication	21	END	1602265145620	1602265146009
USER	POST Authentication	17	END	1602265145540	1602265146009
USER	POST Authentication	40	START	1602265146011	1602265146011
REQUEST	19		POST OAuth Req	1602265145583	1602265146018	OK	 
REQUEST	18		POST OAuth Req	1602265145561	1602265146018	OK	 
USER	POST Authentication	19	END	1602265145581	1602265146022
USER	POST Authentication	18	END	1602265145560	1602265146023
USER	POST Authentication	41	START	1602265146030	1602265146030
USER	POST Authentication	42	START	1602265146051	1602265146051
USER	POST Authentication	43	START	1602265146071	1602265146071
REQUEST	22		POST OAuth Req	1602265145642	1602265146087	OK	 
REQUEST	23		POST OAuth Req	1602265145662	1602265146087	OK	 
REQUEST	25		POST OAuth Req	1602265145702	1602265146087	OK	 
USER	POST Authentication	44	START	1602265146090	1602265146090
USER	POST Authentication	22	END	1602265145641	1602265146091
USER	POST Authentication	23	END	1602265145661	1602265146091
USER	POST Authentication	25	END	1602265145700	1602265146091
REQUEST	26		POST OAuth Req	1602265145722	1602265146094	OK	 
REQUEST	24		POST OAuth Req	1602265145682	1602265146094	OK	 
USER	POST Authentication	24	END	1602265145680	1602265146097
USER	POST Authentication	26	END	1602265145721	1602265146097
REQUEST	28		POST OAuth Req	1602265145771	1602265146100	OK	 
REQUEST	27		POST OAuth Req	1602265145742	1602265146100	OK	 
USER	POST Authentication	28	END	1602265145770	1602265146103
USER	POST Authentication	27	END	1602265145741	1602265146103
USER	POST Authentication	45	START	1602265146110	1602265146110
USER	POST Authentication	46	START	1602265146131	1602265146131
REQUEST	29		POST OAuth Req	1602265145791	1602265146141	OK	 
USER	POST Authentication	29	END	1602265145790	1602265146145
USER	POST Authentication	47	START	1602265146150	1602265146150
USER	POST Authentication	48	START	1602265146170	1602265146170
REQUEST	30		POST OAuth Req	1602265145811	1602265146174	OK	 
REQUEST	31		POST OAuth Req	1602265145832	1602265146174	OK	 
USER	POST Authentication	30	END	1602265145811	1602265146177
USER	POST Authentication	31	END	1602265145831	1602265146178
USER	POST Authentication	49	START	1602265146191	1602265146191
REQUEST	32		POST OAuth Req	1602265145852	1602265146201	OK	 
USER	POST Authentication	32	END	1602265145850	1602265146203
USER	POST Authentication	50	START	1602265146210	1602265146210
REQUEST	33		POST OAuth Req	1602265145872	1602265146227	OK	 
REQUEST	34		POST OAuth Req	1602265145892	1602265146227	OK	 
USER	POST Authentication	33	END	1602265145870	1602265146231
USER	POST Authentication	51	START	1602265146230	1602265146230
USER	POST Authentication	34	END	1602265145891	1602265146231
USER	POST Authentication	52	START	1602265146251	1602265146251
USER	POST Authentication	53	START	1602265146271	1602265146271
USER	POST Authentication	54	START	1602265146290	1602265146290
USER	POST Authentication	55	START	1602265146310	1602265146310
REQUEST	35		POST OAuth Req	1602265145912	1602265146321	OK	 
REQUEST	38		POST OAuth Req	1602265145972	1602265146321	OK	 
REQUEST	36		POST OAuth Req	1602265145932	1602265146321	OK	 
USER	POST Authentication	35	END	1602265145910	1602265146323
USER	POST Authentication	38	END	1602265145970	1602265146323
USER	POST Authentication	36	END	1602265145930	1602265146323
USER	POST Authentication	56	START	1602265146331	1602265146331
REQUEST	39		POST OAuth Req	1602265145992	1602265146333	OK	 
USER	POST Authentication	39	END	1602265145991	1602265146334
REQUEST	37		POST OAuth Req	1602265145952	1602265146341	OK	 
REQUEST	40		POST OAuth Req	1602265146012	1602265146341	OK	 
USER	POST Authentication	37	END	1602265145951	1602265146342
USER	POST Authentication	40	END	1602265146011	1602265146342
USER	POST Authentication	57	START	1602265146351	1602265146351
REQUEST	41		POST OAuth Req	1602265146032	1602265146353	OK	 
USER	POST Authentication	41	END	1602265146030	1602265146354
USER	POST Authentication	58	START	1602265146370	1602265146370
REQUEST	42		POST OAuth Req	1602265146052	1602265146386	OK	 
USER	POST Authentication	42	END	1602265146051	1602265146387
USER	POST Authentication	59	START	1602265146390	1602265146390
USER	POST Authentication	60	START	1602265146410	1602265146410
REQUEST	43		POST OAuth Req	1602265146072	1602265146412	OK	 
USER	POST Authentication	43	END	1602265146071	1602265146414
USER	POST Authentication	61	START	1602265146431	1602265146431
REQUEST	45		POST OAuth Req	1602265146112	1602265146438	OK	 
USER	POST Authentication	45	END	1602265146110	1602265146439
REQUEST	44		POST OAuth Req	1602265146092	1602265146449	OK	 
USER	POST Authentication	44	END	1602265146090	1602265146450
USER	POST Authentication	62	START	1602265146451	1602265146451
REQUEST	46		POST OAuth Req	1602265146132	1602265146465	OK	 
USER	POST Authentication	46	END	1602265146131	1602265146466
USER	POST Authentication	63	START	1602265146470	1602265146470
USER	POST Authentication	64	START	1602265146490	1602265146490
REQUEST	47		POST OAuth Req	1602265146151	1602265146506	OK	 
USER	POST Authentication	47	END	1602265146150	1602265146507
USER	POST Authentication	65	START	1602265146511	1602265146511
USER	POST Authentication	66	START	1602265146531	1602265146531
REQUEST	48		POST OAuth Req	1602265146172	1602265146538	OK	 
REQUEST	49		POST OAuth Req	1602265146192	1602265146539	OK	 
USER	POST Authentication	49	END	1602265146191	1602265146540
USER	POST Authentication	48	END	1602265146170	1602265146540
USER	POST Authentication	67	START	1602265146550	1602265146550
REQUEST	50		POST OAuth Req	1602265146211	1602265146552	OK	 
USER	POST Authentication	50	END	1602265146210	1602265146554
USER	POST Authentication	68	START	1602265146570	1602265146570
REQUEST	51		POST OAuth Req	1602265146232	1602265146583	OK	 
USER	POST Authentication	51	END	1602265146230	1602265146584
USER	POST Authentication	69	START	1602265146590	1602265146590
REQUEST	52		POST OAuth Req	1602265146252	1602265146603	OK	 
USER	POST Authentication	52	END	1602265146251	1602265146604
USER	POST Authentication	70	START	1602265146611	1602265146611
REQUEST	53		POST OAuth Req	1602265146272	1602265146620	OK	 
USER	POST Authentication	53	END	1602265146271	1602265146621
USER	POST Authentication	71	START	1602265146630	1602265146630
REQUEST	55		POST OAuth Req	1602265146311	1602265146634	OK	 
REQUEST	54		POST OAuth Req	1602265146291	1602265146634	OK	 
USER	POST Authentication	54	END	1602265146290	1602265146637
USER	POST Authentication	55	END	1602265146310	1602265146637
REQUEST	56		POST OAuth Req	1602265146331	1602265146644	OK	 
USER	POST Authentication	56	END	1602265146331	1602265146646
USER	POST Authentication	72	START	1602265146651	1602265146651
USER	POST Authentication	73	START	1602265146671	1602265146671
USER	POST Authentication	74	START	1602265146690	1602265146690
USER	POST Authentication	75	START	1602265146711	1602265146711
USER	POST Authentication	76	START	1602265146731	1602265146731
REQUEST	57		POST OAuth Req	1602265146351	1602265146741	OK	 
REQUEST	59		POST OAuth Req	1602265146391	1602265146741	OK	 
USER	POST Authentication	59	END	1602265146390	1602265146743
USER	POST Authentication	57	END	1602265146351	1602265146743
USER	POST Authentication	77	START	1602265146750	1602265146750
REQUEST	58		POST OAuth Req	1602265146371	1602265146757	OK	 
USER	POST Authentication	58	END	1602265146370	1602265146758
REQUEST	60		POST OAuth Req	1602265146411	1602265146763	OK	 
USER	POST Authentication	60	END	1602265146410	1602265146765
USER	POST Authentication	78	START	1602265146770	1602265146770
REQUEST	62		POST OAuth Req	1602265146452	1602265146784	OK	 
USER	POST Authentication	62	END	1602265146451	1602265146786
USER	POST Authentication	79	START	1602265146791	1602265146791
REQUEST	61		POST OAuth Req	1602265146431	1602265146792	OK	 
USER	POST Authentication	61	END	1602265146431	1602265146795
USER	POST Authentication	80	START	1602265146811	1602265146811
REQUEST	63		POST OAuth Req	1602265146471	1602265146822	OK	 
USER	POST Authentication	63	END	1602265146470	1602265146824
USER	POST Authentication	81	START	1602265146830	1602265146830
USER	POST Authentication	82	START	1602265146851	1602265146851
REQUEST	64		POST OAuth Req	1602265146491	1602265146851	OK	 
USER	POST Authentication	64	END	1602265146490	1602265146853
REQUEST	65		POST OAuth Req	1602265146511	1602265146865	OK	 
USER	POST Authentication	65	END	1602265146511	1602265146867
USER	POST Authentication	83	START	1602265146871	1602265146871
REQUEST	66		POST OAuth Req	1602265146531	1602265146876	OK	 
USER	POST Authentication	66	END	1602265146531	1602265146878
REQUEST	67		POST OAuth Req	1602265146551	1602265146883	OK	 
USER	POST Authentication	67	END	1602265146550	1602265146885
USER	POST Authentication	84	START	1602265146890	1602265146890
USER	POST Authentication	85	START	1602265146911	1602265146911
REQUEST	68		POST OAuth Req	1602265146571	1602265146923	OK	 
USER	POST Authentication	68	END	1602265146570	1602265146926
USER	POST Authentication	86	START	1602265146931	1602265146931
REQUEST	69		POST OAuth Req	1602265146591	1602265146931	OK	 
USER	POST Authentication	69	END	1602265146590	1602265146934
USER	POST Authentication	87	START	1602265146950	1602265146950
USER	POST Authentication	88	START	1602265146971	1602265146971
REQUEST	71		POST OAuth Req	1602265146631	1602265146974	OK	 
REQUEST	70		POST OAuth Req	1602265146612	1602265146974	OK	 
USER	POST Authentication	70	END	1602265146611	1602265146976
USER	POST Authentication	71	END	1602265146630	1602265146976
USER	POST Authentication	89	START	1602265146991	1602265146991
REQUEST	72		POST OAuth Req	1602265146652	1602265147007	OK	 
USER	POST Authentication	72	END	1602265146651	1602265147008
USER	POST Authentication	90	START	1602265147010	1602265147010
REQUEST	73		POST OAuth Req	1602265146673	1602265147018	OK	 
USER	POST Authentication	73	END	1602265146671	1602265147019
USER	POST Authentication	91	START	1602265147031	1602265147031
REQUEST	74		POST OAuth Req	1602265146691	1602265147038	OK	 
USER	POST Authentication	74	END	1602265146690	1602265147039
REQUEST	75		POST OAuth Req	1602265146711	1602265147046	OK	 
USER	POST Authentication	75	END	1602265146711	1602265147047
USER	POST Authentication	92	START	1602265147051	1602265147051
USER	POST Authentication	93	START	1602265147071	1602265147071
USER	POST Authentication	94	START	1602265147091	1602265147091
REQUEST	76		POST OAuth Req	1602265146732	1602265147094	OK	 
USER	POST Authentication	76	END	1602265146731	1602265147096
USER	POST Authentication	95	START	1602265147110	1602265147110
REQUEST	77		POST OAuth Req	1602265146751	1602265147114	OK	 
REQUEST	78		POST OAuth Req	1602265146771	1602265147114	OK	 
USER	POST Authentication	77	END	1602265146750	1602265147117
USER	POST Authentication	78	END	1602265146770	1602265147117
USER	POST Authentication	96	START	1602265147131	1602265147131
REQUEST	79		POST OAuth Req	1602265146792	1602265147131	OK	 
USER	POST Authentication	79	END	1602265146791	1602265147133
REQUEST	80		POST OAuth Req	1602265146812	1602265147148	OK	 
USER	POST Authentication	80	END	1602265146811	1602265147150
USER	POST Authentication	97	START	1602265147151	1602265147151
USER	POST Authentication	98	START	1602265147170	1602265147170
REQUEST	81		POST OAuth Req	1602265146831	1602265147174	OK	 
USER	POST Authentication	81	END	1602265146830	1602265147176
USER	POST Authentication	99	START	1602265147191	1602265147191
USER	POST Authentication	100	START	1602265147211	1602265147211
REQUEST	83		POST OAuth Req	1602265146872	1602265147221	OK	 
USER	POST Authentication	83	END	1602265146871	1602265147223
USER	POST Authentication	101	START	1602265147230	1602265147230
REQUEST	82		POST OAuth Req	1602265146852	1602265147229	OK	 
USER	POST Authentication	82	END	1602265146851	1602265147231
USER	POST Authentication	102	START	1602265147240	1602265147240
REQUEST	84		POST OAuth Req	1602265146891	1602265147240	OK	 
USER	POST Authentication	84	END	1602265146890	1602265147242
REQUEST	85		POST OAuth Req	1602265146912	1602265147249	OK	 
USER	POST Authentication	85	END	1602265146911	1602265147251
USER	POST Authentication	103	START	1602265147261	1602265147261
USER	POST Authentication	104	START	1602265147281	1602265147281
USER	POST Authentication	105	START	1602265147300	1602265147300
REQUEST	87		POST OAuth Req	1602265146952	1602265147308	OK	 
REQUEST	86		POST OAuth Req	1602265146932	1602265147308	OK	 
USER	POST Authentication	86	END	1602265146931	1602265147310
USER	POST Authentication	87	END	1602265146950	1602265147310
USER	POST Authentication	106	START	1602265147320	1602265147320
REQUEST	88		POST OAuth Req	1602265146971	1602265147322	OK	 
USER	POST Authentication	88	END	1602265146971	1602265147323
REQUEST	89		POST OAuth Req	1602265146992	1602265147338	OK	 
USER	POST Authentication	89	END	1602265146991	1602265147340
USER	POST Authentication	107	START	1602265147341	1602265147341
