RUN	basic.CadastrarAnuncio1	cadastraranuncio1	1603504559990	teste	3.0.2
USER	CadastrarAnuncio	1	START	1603504562322	1603504562322
USER	CadastrarAnuncio	2	START	1603504562356	1603504562356
REQUEST	1		Gerar Token	1603504562353	1603504568031	OK	 
REQUEST	2		Gerar Token	1603504562361	1603504568218	OK	 
REQUEST	2		Post_Empresa	1603504568222	1603504573613	OK	 
REQUEST	1		Post_Empresa	1603504568124	1603504573613	OK	 
REQUEST	2		Post_Anuncio	1603504573617	1603504574129	OK	 
REQUEST	1		Post_Anuncio	1603504573617	1603504574129	OK	 
REQUEST	1		Put_Anuncio_publicar	1603504574130	1603504575052	OK	 
REQUEST	2		Put_Anuncio_publicar	1603504574130	1603504575052	OK	 
USER	CadastrarAnuncio	1	END	1603504562322	1603504575062
USER	CadastrarAnuncio	2	END	1603504562356	1603504575062
