RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603129416590	teste script acesso mercado azul	3.0.2
USER	AcessoMercadoAzul1	59	START	1603129436182	1603129436182
REQUEST	13		request_2	1603129424300	1603129436258	OK	 
REQUEST	41		request_0	1603129430843	1603129436259	OK	 
REQUEST	16		request_2	1603129424299	1603129436260	OK	 
REQUEST	8		request_2	1603129424307	1603129436270	OK	 
REQUEST	27		request_0	1603129426513	1603129436272	OK	 
REQUEST	12		request_2	1603129424299	1603129436280	OK	 
REQUEST	5		request_11	1603129429337	1603129436258	OK	 
REQUEST	41		request_1	1603129436261	1603129436306	OK	 
REQUEST	27		request_1	1603129436274	1603129436318	OK	 
REQUEST	15		request_2	1603129424302	1603129436326	OK	 
REQUEST	7		request_11	1603129429337	1603129436326	OK	 
REQUEST	16		request_10	1603129424301	1603129436334	OK	 
REQUEST	22		request_0	1603129425093	1603129436347	OK	 
REQUEST	48		request_0	1603129432843	1603129436347	OK	 
REQUEST	28		request_0	1603129426843	1603129436347	OK	 
REQUEST	29		request_0	1603129427183	1603129436348	OK	 
REQUEST	1		request_2	1603129434394	1603129436349	OK	 
REQUEST	45		request_0	1603129431843	1603129436353	OK	 
REQUEST	6		request_10	1603129424301	1603129436353	OK	 
REQUEST	56		request_0	1603129435182	1603129436364	OK	 
REQUEST	19		request_2	1603129435166	1603129436364	OK	 
REQUEST	10		request_11	1603129429342	1603129436364	OK	 
REQUEST	32		request_0	1603129428093	1603129436364	OK	 
REQUEST	34		request_0	1603129428593	1603129436365	OK	 
REQUEST	14		request_11	1603129429337	1603129436365	OK	 
REQUEST	15		request_11	1603129429337	1603129436365	OK	 
REQUEST	6		request_11	1603129429339	1603129436365	OK	 
REQUEST	13		request_5	1603129424301	1603129436367	OK	 
REQUEST	39		request_0	1603129430184	1603129436364	OK	 
REQUEST	10		request_5	1603129424298	1603129436369	OK	 
REQUEST	1		request_5	1603129434395	1603129436373	OK	 
REQUEST	33		request_0	1603129428343	1603129436387	OK	 
REQUEST	5		request_13	1603129434375	1603129436389	OK	 
REQUEST	14		request_5	1603129424306	1603129436393	OK	 
USER	AcessoMercadoAzul1	60	START	1603129436541	1603129436541
REQUEST	58		request_0	1603129435843	1603129436542	OK	 
REQUEST	12		request_10	1603129424301	1603129436542	OK	 
REQUEST	14		request_13	1603129434375	1603129436543	OK	 
REQUEST	38		request_0	1603129429843	1603129436546	OK	 
REQUEST	16		request_5	1603129424300	1603129436546	OK	 
REQUEST	9		request_2	1603129424301	1603129436547	OK	 
REQUEST	47		request_0	1603129432513	1603129436565	OK	 
REQUEST	1		request_11	1603129434399	1603129436640	OK	 
REQUEST	46		request_0	1603129432183	1603129436640	OK	 
REQUEST	10		request_13	1603129434382	1603129436710	OK	 
REQUEST	7		request_10	1603129424306	1603129436749	OK	 
REQUEST	4		request_13	1603129434376	1603129436749	OK	 
REQUEST	9		request_13	1603129434378	1603129436770	OK	 
REQUEST	26		request_0	1603129426183	1603129436836	OK	 
USER	AcessoMercadoAzul1	61	START	1603129436842	1603129436842
REQUEST	9		request_5	1603129424302	1603129436868	OK	 
REQUEST	48		request_1	1603129436350	1603129436928	OK	 
REQUEST	29		request_1	1603129436349	1603129436928	OK	 
REQUEST	19		request_11	1603129435169	1603129436929	OK	 
REQUEST	45		request_1	1603129436354	1603129436929	OK	 
REQUEST	22		request_1	1603129436349	1603129436928	OK	 
REQUEST	28		request_1	1603129436349	1603129436930	OK	 
REQUEST	19		request_5	1603129435167	1603129436930	OK	 
REQUEST	19		request_10	1603129435168	1603129436930	OK	 
REQUEST	17		request_11	1603129429341	1603129436931	OK	 
REQUEST	49		request_0	1603129433183	1603129436932	OK	 
REQUEST	34		request_1	1603129436367	1603129436932	OK	 
REQUEST	1		request_10	1603129434397	1603129436957	OK	 
REQUEST	32		request_1	1603129436372	1603129437011	OK	 
REQUEST	56		request_1	1603129436369	1603129437011	OK	 
REQUEST	39		request_1	1603129436370	1603129437011	OK	 
REQUEST	7		request_13	1603129434376	1603129437024	OK	 
REQUEST	33		request_1	1603129436389	1603129437061	OK	 
REQUEST	6		request_13	1603129434376	1603129437088	OK	 
REQUEST	13		request_13	1603129434375	1603129437088	OK	 
REQUEST	4		request_12	1603129429341	1603129437088	OK	 
REQUEST	11		request_12	1603129429340	1603129437089	OK	 
USER	AcessoMercadoAzul1	62	START	1603129437092	1603129437092
REQUEST	12		request_13	1603129434383	1603129437146	OK	 
REQUEST	5		request_10	1603129424304	1603129437147	OK	 
REQUEST	9		request_12	1603129429339	1603129437149	OK	 
REQUEST	17		request_12	1603129429342	1603129437150	OK	 
REQUEST	17		request_13	1603129434375	1603129437152	OK	 
REQUEST	58		request_1	1603129436545	1603129437171	OK	 
REQUEST	35		request_0	1603129428843	1603129437209	OK	 
REQUEST	38		request_1	1603129436548	1603129437281	OK	 
REQUEST	41		request_5	1603129436263	1603129437291	OK	 
REQUEST	14		request_12	1603129429342	1603129437312	OK	 
USER	AcessoMercadoAzul1	63	START	1603129437342	1603129437342
REQUEST	47		request_1	1603129436567	1603129437350	OK	 
REQUEST	3		request_5	1603129424305	1603129437351	OK	 
REQUEST	19		request_13	1603129435171	1603129437354	OK	 
REQUEST	19		request_12	1603129435170	1603129437370	OK	 
REQUEST	2		request_12	1603129429339	1603129437520	OK	 
REQUEST	16		request_12	1603129429342	1603129437544	OK	 
REQUEST	46		request_1	1603129436643	1603129437551	OK	 
REQUEST	3		request_12	1603129429339	1603129437569	OK	 
USER	AcessoMercadoAzul1	64	START	1603129437592	1603129437592
REQUEST	26		request_1	1603129436839	1603129437615	OK	 
REQUEST	27		request_5	1603129436275	1603129437616	OK	 
REQUEST	15		request_10	1603129424303	1603129437619	OK	 
REQUEST	59		request_0	1603129436182	1603129437662	OK	 
REQUEST	13		request_12	1603129429342	1603129437715	OK	 
USER	AcessoMercadoAzul1	65	START	1603129437842	1603129437842
REQUEST	7		request_5	1603129424305	1603129437865	OK	 
REQUEST	24		request_0	1603129425593	1603129437992	OK	 
REQUEST	27		request_2	1603129436274	1603129438035	OK	 
REQUEST	25		request_0	1603129425843	1603129438052	OK	 
REQUEST	24		request_1	1603129437997	1603129438052	OK	 
REQUEST	49		request_5	1603129436933	1603129438058	OK	 
REQUEST	25		request_1	1603129438054	1603129438139	OK	 
USER	AcessoMercadoAzul1	66	START	1603129438183	1603129438183
