RUN	basic.CadastrarAnuncio1	cadastraranuncio1	1603504224786	teste	3.0.2
USER	CadastrarAnuncio	1	START	1603504227110	1603504227110
USER	CadastrarAnuncio	2	START	1603504227140	1603504227140
USER	CadastrarAnuncio	3	START	1603504227143	1603504227143
USER	CadastrarAnuncio	4	START	1603504227144	1603504227144
USER	CadastrarAnuncio	5	START	1603504227145	1603504227145
USER	CadastrarAnuncio	6	START	1603504227146	1603504227146
USER	CadastrarAnuncio	7	START	1603504227146	1603504227146
USER	CadastrarAnuncio	8	START	1603504227147	1603504227147
USER	CadastrarAnuncio	9	START	1603504227148	1603504227148
USER	CadastrarAnuncio	10	START	1603504227149	1603504227149
USER	CadastrarAnuncio	11	START	1603504227152	1603504227152
USER	CadastrarAnuncio	12	START	1603504227153	1603504227153
USER	CadastrarAnuncio	13	START	1603504227154	1603504227154
USER	CadastrarAnuncio	14	START	1603504227155	1603504227155
USER	CadastrarAnuncio	15	START	1603504227159	1603504227159
USER	CadastrarAnuncio	16	START	1603504227160	1603504227160
USER	CadastrarAnuncio	17	START	1603504227161	1603504227161
USER	CadastrarAnuncio	18	START	1603504227162	1603504227162
USER	CadastrarAnuncio	19	START	1603504227163	1603504227163
USER	CadastrarAnuncio	20	START	1603504227164	1603504227164
REQUEST	12		Gerar Token	1603504227154	1603504233820	OK	 
REQUEST	6		Gerar Token	1603504227146	1603504233798	OK	 
REQUEST	5		Gerar Token	1603504227145	1603504233830	OK	 
REQUEST	20		Gerar Token	1603504227165	1603504233837	OK	 
REQUEST	10		Gerar Token	1603504227149	1603504233845	OK	 
REQUEST	11		Gerar Token	1603504227153	1603504233806	OK	 
REQUEST	1		Gerar Token	1603504227137	1603504233798	OK	 
REQUEST	2		Gerar Token	1603504227143	1603504233811	OK	 
REQUEST	3		Gerar Token	1603504227144	1603504233806	OK	 
REQUEST	7		Gerar Token	1603504227147	1603504233907	OK	 
REQUEST	16		Gerar Token	1603504227161	1603504233987	OK	 
REQUEST	8		Gerar Token	1603504227148	1603504233988	OK	 
REQUEST	15		Gerar Token	1603504227160	1603504234017	OK	 
REQUEST	13		Gerar Token	1603504227154	1603504234017	OK	 
REQUEST	9		Gerar Token	1603504227149	1603504234035	OK	 
REQUEST	14		Gerar Token	1603504227156	1603504234035	OK	 
REQUEST	4		Gerar Token	1603504227144	1603504238949	OK	 
REQUEST	17		Gerar Token	1603504227162	1603504238950	OK	 
REQUEST	18		Gerar Token	1603504227163	1603504238950	OK	 
REQUEST	19		Gerar Token	1603504227164	1603504238949	OK	 
REQUEST	5		Post_Empresa	1603504233906	1603504239647	OK	 
REQUEST	14		Post_Empresa	1603504234038	1603504239838	OK	 
REQUEST	3		Post_Empresa	1603504233905	1603504239838	OK	 
REQUEST	15		Post_Empresa	1603504234021	1603504239838	OK	 
REQUEST	12		Post_Empresa	1603504233905	1603504239838	OK	 
REQUEST	18		Post_Empresa	1603504238956	1603504239838	OK	 
REQUEST	16		Post_Empresa	1603504233990	1603504239838	OK	 
REQUEST	13		Post_Empresa	1603504234021	1603504239845	OK	 
REQUEST	2		Post_Empresa	1603504233905	1603504239844	OK	 
REQUEST	7		Post_Empresa	1603504233910	1603504239867	OK	 
REQUEST	6		Post_Empresa	1603504233905	1603504239867	OK	 
REQUEST	19		Post_Empresa	1603504238956	1603504240151	OK	 
REQUEST	4		Post_Empresa	1603504238955	1603504240341	OK	 
REQUEST	9		Post_Empresa	1603504234038	1603504240341	OK	 
REQUEST	17		Post_Empresa	1603504238956	1603504240341	OK	 
REQUEST	8		Post_Empresa	1603504233990	1603504240341	OK	 
REQUEST	10		Post_Empresa	1603504233906	1603504240341	OK	 
REQUEST	11		Post_Empresa	1603504233906	1603504240348	OK	 
REQUEST	20		Post_Empresa	1603504233906	1603504240347	OK	 
