RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1602856196696	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1602856199099	1602856199099
USER	AcessoMercadoAzul1	2	START	1602856199132	1602856199132
USER	AcessoMercadoAzul1	3	START	1602856199170	1602856199170
USER	AcessoMercadoAzul1	4	START	1602856199179	1602856199179
USER	AcessoMercadoAzul1	5	START	1602856199189	1602856199189
USER	AcessoMercadoAzul1	6	START	1602856199199	1602856199199
USER	AcessoMercadoAzul1	7	START	1602856199208	1602856199208
USER	AcessoMercadoAzul1	8	START	1602856199229	1602856199229
USER	AcessoMercadoAzul1	9	START	1602856199239	1602856199239
USER	AcessoMercadoAzul1	10	START	1602856199249	1602856199249
USER	AcessoMercadoAzul1	11	START	1602856199259	1602856199259
USER	AcessoMercadoAzul1	12	START	1602856199269	1602856199269
USER	AcessoMercadoAzul1	13	START	1602856199279	1602856199279
USER	AcessoMercadoAzul1	14	START	1602856199299	1602856199299
USER	AcessoMercadoAzul1	15	START	1602856199308	1602856199308
USER	AcessoMercadoAzul1	16	START	1602856199319	1602856199319
USER	AcessoMercadoAzul1	17	START	1602856199329	1602856199329
USER	AcessoMercadoAzul1	18	START	1602856199339	1602856199339
USER	AcessoMercadoAzul1	19	START	1602856199359	1602856199359
USER	AcessoMercadoAzul1	20	START	1602856199369	1602856199369
USER	AcessoMercadoAzul1	21	START	1602856199379	1602856199379
USER	AcessoMercadoAzul1	22	START	1602856199389	1602856199389
USER	AcessoMercadoAzul1	23	START	1602856199399	1602856199399
USER	AcessoMercadoAzul1	24	START	1602856199419	1602856199419
USER	AcessoMercadoAzul1	25	START	1602856199429	1602856199429
USER	AcessoMercadoAzul1	26	START	1602856199439	1602856199439
USER	AcessoMercadoAzul1	27	START	1602856199449	1602856199449
USER	AcessoMercadoAzul1	28	START	1602856199459	1602856199459
USER	AcessoMercadoAzul1	29	START	1602856199479	1602856199479
USER	AcessoMercadoAzul1	30	START	1602856199489	1602856199489
USER	AcessoMercadoAzul1	31	START	1602856199499	1602856199499
USER	AcessoMercadoAzul1	32	START	1602856199509	1602856199509
USER	AcessoMercadoAzul1	33	START	1602856199519	1602856199519
USER	AcessoMercadoAzul1	34	START	1602856199529	1602856199529
USER	AcessoMercadoAzul1	35	START	1602856199549	1602856199549
USER	AcessoMercadoAzul1	36	START	1602856199560	1602856199560
USER	AcessoMercadoAzul1	37	START	1602856199569	1602856199569
USER	AcessoMercadoAzul1	38	START	1602856199579	1602856199579
USER	AcessoMercadoAzul1	39	START	1602856199589	1602856199589
USER	AcessoMercadoAzul1	40	START	1602856199609	1602856199609
USER	AcessoMercadoAzul1	41	START	1602856199619	1602856199619
USER	AcessoMercadoAzul1	42	START	1602856199629	1602856199629
USER	AcessoMercadoAzul1	43	START	1602856199639	1602856199639
USER	AcessoMercadoAzul1	44	START	1602856199649	1602856199649
USER	AcessoMercadoAzul1	45	START	1602856199669	1602856199669
USER	AcessoMercadoAzul1	46	START	1602856199680	1602856199680
USER	AcessoMercadoAzul1	47	START	1602856199689	1602856199689
USER	AcessoMercadoAzul1	48	START	1602856199699	1602856199699
USER	AcessoMercadoAzul1	49	START	1602856199710	1602856199710
USER	AcessoMercadoAzul1	50	START	1602856199729	1602856199729
USER	AcessoMercadoAzul1	51	START	1602856199739	1602856199739
USER	AcessoMercadoAzul1	52	START	1602856199749	1602856199749
USER	AcessoMercadoAzul1	53	START	1602856199759	1602856199759
USER	AcessoMercadoAzul1	54	START	1602856199769	1602856199769
USER	AcessoMercadoAzul1	55	START	1602856199779	1602856199779
USER	AcessoMercadoAzul1	56	START	1602856199799	1602856199799
USER	AcessoMercadoAzul1	57	START	1602856199809	1602856199809
USER	AcessoMercadoAzul1	58	START	1602856199819	1602856199819
USER	AcessoMercadoAzul1	59	START	1602856199829	1602856199829
USER	AcessoMercadoAzul1	60	START	1602856199839	1602856199839
USER	AcessoMercadoAzul1	61	START	1602856199859	1602856199859
USER	AcessoMercadoAzul1	62	START	1602856199869	1602856199869
USER	AcessoMercadoAzul1	63	START	1602856199889	1602856199889
USER	AcessoMercadoAzul1	64	START	1602856199899	1602856199899
USER	AcessoMercadoAzul1	65	START	1602856199909	1602856199909
USER	AcessoMercadoAzul1	66	START	1602856199929	1602856199929
USER	AcessoMercadoAzul1	67	START	1602856199939	1602856199939
USER	AcessoMercadoAzul1	68	START	1602856199949	1602856199949
USER	AcessoMercadoAzul1	69	START	1602856199959	1602856199959
USER	AcessoMercadoAzul1	70	START	1602856199969	1602856199969
USER	AcessoMercadoAzul1	71	START	1602856199989	1602856199989
USER	AcessoMercadoAzul1	72	START	1602856199999	1602856199999
USER	AcessoMercadoAzul1	73	START	1602856200009	1602856200009
USER	AcessoMercadoAzul1	74	START	1602856200019	1602856200019
USER	AcessoMercadoAzul1	75	START	1602856200029	1602856200029
USER	AcessoMercadoAzul1	76	START	1602856200039	1602856200039
USER	AcessoMercadoAzul1	77	START	1602856200059	1602856200059
USER	AcessoMercadoAzul1	78	START	1602856200069	1602856200069
USER	AcessoMercadoAzul1	79	START	1602856200079	1602856200079
USER	AcessoMercadoAzul1	80	START	1602856200089	1602856200089
USER	AcessoMercadoAzul1	81	START	1602856200099	1602856200099
USER	AcessoMercadoAzul1	82	START	1602856200119	1602856200119
USER	AcessoMercadoAzul1	83	START	1602856200129	1602856200129
USER	AcessoMercadoAzul1	84	START	1602856200138	1602856200138
USER	AcessoMercadoAzul1	85	START	1602856200149	1602856200149
USER	AcessoMercadoAzul1	86	START	1602856200159	1602856200159
USER	AcessoMercadoAzul1	87	START	1602856200179	1602856200179
USER	AcessoMercadoAzul1	88	START	1602856200189	1602856200189
USER	AcessoMercadoAzul1	89	START	1602856200199	1602856200199
USER	AcessoMercadoAzul1	90	START	1602856200209	1602856200209
USER	AcessoMercadoAzul1	91	START	1602856200220	1602856200220
USER	AcessoMercadoAzul1	92	START	1602856200239	1602856200239
USER	AcessoMercadoAzul1	93	START	1602856200249	1602856200249
USER	AcessoMercadoAzul1	94	START	1602856200259	1602856200259
USER	AcessoMercadoAzul1	95	START	1602856200269	1602856200269
USER	AcessoMercadoAzul1	96	START	1602856200279	1602856200279
USER	AcessoMercadoAzul1	97	START	1602856200299	1602856200299
USER	AcessoMercadoAzul1	98	START	1602856200309	1602856200309
USER	AcessoMercadoAzul1	99	START	1602856200319	1602856200319
USER	AcessoMercadoAzul1	100	START	1602856200330	1602856200330
USER	AcessoMercadoAzul1	101	START	1602856200339	1602856200339
USER	AcessoMercadoAzul1	102	START	1602856200359	1602856200359
USER	AcessoMercadoAzul1	103	START	1602856200369	1602856200369
USER	AcessoMercadoAzul1	104	START	1602856200379	1602856200379
USER	AcessoMercadoAzul1	105	START	1602856200389	1602856200389
USER	AcessoMercadoAzul1	106	START	1602856200409	1602856200409
USER	AcessoMercadoAzul1	107	START	1602856200419	1602856200419
USER	AcessoMercadoAzul1	108	START	1602856200429	1602856200429
