RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603116249119	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1603116251400	1603116251400
USER	AcessoMercadoAzul1	2	START	1603116251937	1603116251937
USER	AcessoMercadoAzul1	3	START	1603116252438	1603116252438
USER	AcessoMercadoAzul1	4	START	1603116252937	1603116252937
USER	AcessoMercadoAzul1	5	START	1603116253437	1603116253437
USER	AcessoMercadoAzul1	6	START	1603116254407	1603116254407
USER	AcessoMercadoAzul1	7	START	1603116254907	1603116254907
USER	AcessoMercadoAzul1	8	START	1603116255407	1603116255407
USER	AcessoMercadoAzul1	9	START	1603116255907	1603116255907
USER	AcessoMercadoAzul1	10	START	1603116256408	1603116256408
REQUEST	10		request_0	1603116256409	1603116256845	OK	 
REQUEST	3		request_0	1603116252439	1603116256845	OK	 
REQUEST	9		request_0	1603116255909	1603116256846	OK	 
REQUEST	4		request_0	1603116252939	1603116256845	OK	 
REQUEST	1		request_0	1603116251425	1603116256845	OK	 
REQUEST	5		request_0	1603116253438	1603116256850	OK	 
REQUEST	7		request_0	1603116254908	1603116256845	OK	 
REQUEST	8		request_0	1603116255408	1603116256846	OK	 
REQUEST	6		request_0	1603116254408	1603116256841	OK	 
REQUEST	2		request_0	1603116251938	1603116256846	OK	 
USER	AcessoMercadoAzul1	11	START	1603116257407	1603116257407
REQUEST	11		request_0	1603116257409	1603116257530	OK	 
USER	AcessoMercadoAzul1	12	START	1603116257908	1603116257908
REQUEST	12		request_0	1603116257909	1603116258038	OK	 
USER	AcessoMercadoAzul1	13	START	1603116258407	1603116258407
REQUEST	13		request_0	1603116258409	1603116258534	OK	 
USER	AcessoMercadoAzul1	14	START	1603116258907	1603116258907
REQUEST	14		request_0	1603116258909	1603116259020	OK	 
USER	AcessoMercadoAzul1	15	START	1603116259407	1603116259407
REQUEST	15		request_0	1603116259408	1603116259528	OK	 
USER	AcessoMercadoAzul1	16	START	1603116260407	1603116260407
REQUEST	16		request_0	1603116260408	1603116260563	OK	 
USER	AcessoMercadoAzul1	17	START	1603116260907	1603116260907
USER	AcessoMercadoAzul1	18	START	1603116261407	1603116261407
USER	AcessoMercadoAzul1	19	START	1603116261907	1603116261907
USER	AcessoMercadoAzul1	20	START	1603116262407	1603116262407
USER	AcessoMercadoAzul1	21	START	1603116263408	1603116263408
USER	AcessoMercadoAzul1	22	START	1603116263908	1603116263908
USER	AcessoMercadoAzul1	23	START	1603116264407	1603116264407
USER	AcessoMercadoAzul1	24	START	1603116264908	1603116264908
USER	AcessoMercadoAzul1	25	START	1603116265407	1603116265407
USER	AcessoMercadoAzul1	26	START	1603116266407	1603116266407
USER	AcessoMercadoAzul1	27	START	1603116266908	1603116266908
USER	AcessoMercadoAzul1	28	START	1603116267407	1603116267407
USER	AcessoMercadoAzul1	29	START	1603116267907	1603116267907
USER	AcessoMercadoAzul1	30	START	1603116268407	1603116268407
USER	AcessoMercadoAzul1	31	START	1603116269407	1603116269407
USER	AcessoMercadoAzul1	32	START	1603116269907	1603116269907
USER	AcessoMercadoAzul1	33	START	1603116270407	1603116270407
USER	AcessoMercadoAzul1	34	START	1603116270907	1603116270907
USER	AcessoMercadoAzul1	35	START	1603116271407	1603116271407
USER	AcessoMercadoAzul1	36	START	1603116272407	1603116272407
USER	AcessoMercadoAzul1	37	START	1603116272907	1603116272907
USER	AcessoMercadoAzul1	38	START	1603116273407	1603116273407
USER	AcessoMercadoAzul1	39	START	1603116273907	1603116273907
USER	AcessoMercadoAzul1	40	START	1603116274408	1603116274408
USER	AcessoMercadoAzul1	41	START	1603116275407	1603116275407
USER	AcessoMercadoAzul1	42	START	1603116275907	1603116275907
USER	AcessoMercadoAzul1	43	START	1603116276408	1603116276408
USER	AcessoMercadoAzul1	44	START	1603116276908	1603116276908
USER	AcessoMercadoAzul1	45	START	1603116277408	1603116277408
USER	AcessoMercadoAzul1	46	START	1603116278407	1603116278407
USER	AcessoMercadoAzul1	47	START	1603116278907	1603116278907
USER	AcessoMercadoAzul1	48	START	1603116279407	1603116279407
USER	AcessoMercadoAzul1	49	START	1603116279907	1603116279907
USER	AcessoMercadoAzul1	50	START	1603116280407	1603116280407
USER	AcessoMercadoAzul1	51	START	1603116281408	1603116281408
USER	AcessoMercadoAzul1	52	START	1603116281908	1603116281908
USER	AcessoMercadoAzul1	53	START	1603116282407	1603116282407
USER	AcessoMercadoAzul1	54	START	1603116282907	1603116282907
USER	AcessoMercadoAzul1	55	START	1603116283407	1603116283407
USER	AcessoMercadoAzul1	56	START	1603116284407	1603116284407
USER	AcessoMercadoAzul1	57	START	1603116284908	1603116284908
USER	AcessoMercadoAzul1	58	START	1603116285407	1603116285407
USER	AcessoMercadoAzul1	59	START	1603116285908	1603116285908
USER	AcessoMercadoAzul1	60	START	1603116286408	1603116286408
USER	AcessoMercadoAzul1	61	START	1603116287408	1603116287408
USER	AcessoMercadoAzul1	62	START	1603116287907	1603116287907
USER	AcessoMercadoAzul1	63	START	1603116288408	1603116288408
USER	AcessoMercadoAzul1	64	START	1603116288908	1603116288908
USER	AcessoMercadoAzul1	65	START	1603116289408	1603116289408
USER	AcessoMercadoAzul1	66	START	1603116290408	1603116290408
USER	AcessoMercadoAzul1	67	START	1603116290907	1603116290907
USER	AcessoMercadoAzul1	68	START	1603116291407	1603116291407
USER	AcessoMercadoAzul1	69	START	1603116291907	1603116291907
REQUEST	12		request_1	1603116271997	1603116292392	OK	 
REQUEST	7		request_1	1603116271997	1603116292394	OK	 
REQUEST	9		request_1	1603116271997	1603116292395	OK	 
REQUEST	15		request_1	1603116272002	1603116292399	OK	 
REQUEST	16		request_1	1603116271997	1603116292400	OK	 
REQUEST	14		request_1	1603116271999	1603116292403	OK	 
REQUEST	13		request_1	1603116272001	1603116292399	OK	 
REQUEST	11		request_1	1603116271999	1603116292406	OK	 
REQUEST	8		request_1	1603116271997	1603116292407	OK	 
USER	AcessoMercadoAzul1	70	START	1603116292408	1603116292408
REQUEST	3		request_1	1603116271999	1603116292409	OK	 
REQUEST	6		request_1	1603116271997	1603116292409	OK	 
